,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
TGME49_202840,8724,11361,6794,9929,8724,10631,7781,7703
TGME49_202850,544,651,335,505,544,562,367,401
TGME49_202860,670,887,472,640,670,821,497,577
TGME49_202870,676,690,416,587,676,655,512,530
TGME49_202880,637,769,536,645,637,698,655,616
TGME49_202890,2826,3887,1963,2813,2826,3648,2383,2381
TGME49_202895,0,0,0,0,0,0,0,0
TGME49_202900,3965,5084,2449,3452,3965,4740,3147,3134
TGME49_202910,0,0,0,0,0,0,0,0
TGME49_202920,1210,1435,793,975,1210,1239,845,900
TGME49_202930,138,148,78,114,138,137,89,106
TGME49_202940,2285,2943,1584,2234,2285,2545,1925,2009
TGME49_202950,2108,2430,1470,2076,2108,2212,1786,1777
TGME49_202960,0,0,0,0,0,0,0,0
TGME49_202970,203,235,59,174,203,193,96,127
TGME49_202975,7,10,4,6,7,11,1,3
TGME49_202980,2079,2510,1266,1696,2079,2131,1506,1500
TGME49_202990,2,2,1,0,2,3,1,3
TGME49_203000,2,1,2,0,2,1,3,2
TGME49_203010,2052,1884,1315,2231,2052,1764,1679,1892
TGME49_203020,1154,1268,673,976,1154,1076,783,862
TGME49_203030,2604,3404,1924,2526,2604,3179,2066,2256
TGME49_203040,985,1306,765,1069,985,1143,924,920
TGME49_203050,2438,2770,1903,2593,2438,2683,2341,2285
TGME49_203060,3540,5008,2551,3320,3540,5066,2973,2771
TGME49_203070,10,18,1,6,10,20,2,5
TGME49_203080,1082,1430,807,999,1082,1278,897,914
TGME49_203090,16,36,13,19,16,28,9,11
TGME49_203100,1,4,4,3,1,6,5,3
TGME49_203110,2,3,0,2,2,0,3,0
TGME49_203120,370,500,316,336,370,500,326,338
TGME49_203135,15,15,11,7,15,8,10,9
TGME49_203150,1260,1242,784,1230,1260,1088,979,1055
TGME49_203160,1213,1419,861,1223,1213,1401,975,1028
TGME49_203170,1490,1511,1014,1278,1490,1231,1088,1063
TGME49_203175,34,16,11,28,34,10,13,19
TGME49_203180,1209,922,591,1153,1209,839,761,910
TGME49_203200,58,63,42,30,58,65,44,53
TGME49_203220,1162,1446,815,1163,1162,1312,866,904
TGME49_203230,93,128,82,122,93,155,131,106
TGME49_203240,3220,3984,2274,3181,3220,3668,2646,2689
TGME49_203250,21,25,17,20,21,24,17,15
TGME49_203260,887,1182,596,778,887,1025,762,780
TGME49_203270,497,581,329,460,497,523,417,401
TGME49_203280,618,885,458,681,618,905,513,602
TGME49_203290,2804,4316,3466,3383,2804,3960,3894,2898
TGME49_203300,1707,2603,1382,1953,1707,2727,1621,1446
TGME49_203310,60532,94223,53485,70113,60532,96790,60018,59008
TGME49_203320,2469,2869,1606,2342,2469,2517,1993,2097
TGME49_203330,18,20,6,13,18,21,15,13
TGME49_203340,4,13,7,5,4,12,7,10
TGME49_203350,794,835,472,691,794,768,618,589
