,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
TGME49_268270,0,0,0,0,0,1,0,2
TGME49_268280,3064,3317,2243,2994,3064,2784,2614,2475
TGME49_268290,775,1042,563,765,775,959,701,645
TGME49_268300,248,310,189,269,248,300,213,206
TGME49_268310,20,33,7,11,20,24,5,10
TGME49_268320,1539,1850,1097,1564,1539,1741,1388,1261
TGME49_268330,2833,2544,1558,2618,2833,2399,2081,2284
TGME49_268340,233,237,116,175,233,239,183,198
TGME49_268350,284,355,163,234,284,279,158,227
TGME49_268360,25,24,41,38,25,15,33,23
TGME49_268370,6211,6961,3864,6204,6211,6575,5168,5385
TGME49_268380,4295,3868,2987,4229,4295,3356,4064,3663
TGME49_268390,166,193,118,126,166,214,146,112
TGME49_268400,697,816,515,553,697,842,580,524
TGME49_268410,0,1,0,0,0,0,0,0
TGME49_268420,0,0,0,0,0,0,0,0
TGME49_268430,469,518,342,473,469,542,399,439
TGME49_268440,0,0,0,0,0,0,0,0
TGME49_268450,0,2,0,0,0,1,0,0
TGME49_268560,1378,1776,1019,1404,1378,1689,1300,1302
TGME49_268570,2699,3702,1905,2646,2699,3321,2181,2286
TGME49_268580,889,1120,659,840,889,1058,851,773
TGME49_268590,2646,4059,2403,2989,2646,3858,2826,2407
TGME49_268600,295,310,241,293,295,353,264,270
TGME49_268610,1788,1988,1246,1601,1788,1883,1437,1355
TGME49_268620,524,707,356,491,524,633,399,402
TGME49_268630,576,672,397,598,576,633,476,510
TGME49_268640,658,777,396,543,658,759,472,456
TGME49_268650,715,912,479,720,715,871,595,621
TGME49_268660,136,127,109,117,136,127,122,118
TGME49_268670,61,76,50,75,61,86,49,59
TGME49_268680,1727,2723,1620,2236,1727,2545,1816,2014
TGME49_268685,516,669,342,380,516,646,426,399
TGME49_268690,714,809,467,592,714,745,544,587
TGME49_268700,12,33,10,18,12,20,3,13
TGME49_268710,711,846,542,658,711,773,576,513
TGME49_268720,819,1106,621,810,819,1000,663,681
TGME49_268730,603,657,375,547,603,587,443,467
TGME49_268740,515,695,307,490,515,613,445,449
TGME49_268750,464,578,297,425,464,535,358,383
TGME49_268760,5138,5351,3341,5096,5138,4865,3924,4671
TGME49_268765,129,120,72,119,129,110,65,85
TGME49_268770,740,797,471,677,740,734,567,553
TGME49_268780,1993,2310,1241,2209,1993,2031,1663,1851
TGME49_268790,3580,5584,3609,4080,3580,5011,4092,3642
TGME49_268800,9,21,13,11,9,20,27,16
TGME49_268810,1053,1391,795,1009,1053,1241,915,827
TGME49_268820,18,33,13,18,18,21,18,14
TGME49_268830,3144,4027,2175,2977,3144,3648,2613,2609
TGME49_268835,4,1,3,4,4,3,0,1
TGME49_268840,1066,1320,721,1024,1066,1236,878,834
TGME49_268850,10789,11720,7208,9334,10789,10561,8188,7802
TGME49_268860,6,8,4,4,6,7,5,1
TGME49_268870,1118,1341,947,1426,1118,1267,1045,1274
TGME49_268880,889,1149,839,1146,889,1126,922,988
TGME49_268890,1450,1806,981,1322,1450,1550,1178,1234
TGME49_268900,1056,1336,740,1018,1056,1252,855,895
TGME49_268910,424,597,304,349,424,566,353,334
TGME49_268920,1752,1907,1158,1731,1752,1788,1381,1554
TGME49_268930,7,9,3,2,7,9,5,2
TGME49_268940,0,0,0,1,0,0,0,0
TGME49_268950,2137,2601,1334,1757,2137,2376,1577,1624
TGME49_268960,1604,1842,980,1301,1604,1854,1157,1115
TGME49_268970,218,353,212,271,218,394,204,225
TGME49_268980,6551,9467,5772,7068,6551,9309,6580,6003
TGME49_268985,151,258,167,199,151,254,150,151
TGME49_268990,663,665,379,552,663,586,532,516
TGME49_269000,654,653,405,651,654,634,516,554
TGME49_269010,10082,12487,8287,10534,10082,12165,9750,8930
TGME49_269015,55,35,20,39,55,25,23,38
TGME49_269020,163,143,74,138,163,132,111,133
TGME49_269035,5,6,12,8,5,15,14,8
TGME49_269050,1034,1437,737,1053,1034,1495,814,942
TGME49_269060,1223,1439,792,1267,1223,1452,984,1059
TGME49_269075,624,714,466,684,624,641,702,648
TGME49_269085,5,10,6,7,5,11,7,6
TGME49_269100,1,0,1,1,1,0,1,0
TGME49_269110,3,2,1,4,3,0,0,0
TGME49_269120,2,0,1,1,2,1,0,0
TGME49_269130,336,425,231,299,336,365,278,271
TGME49_269140,1239,1271,800,1058,1239,1232,966,958
TGME49_269150,685,881,482,658,685,838,593,600
TGME49_269160,9,25,0,4,9,17,1,6
TGME49_269170,23,24,5,7,23,36,0,6
TGME49_269175,308,431,228,323,308,436,252,270
TGME49_269180,6974,6841,3854,6014,6974,6332,4846,4766
TGME49_269190,6999,9983,5790,7379,6999,8625,6718,6021
TGME49_269200,741,875,529,670,741,818,546,596
TGME49_269210,337,328,240,357,337,291,275,321
TGME49_269225,14,12,5,10,14,12,11,7
TGME49_269228,0,1,0,0,0,1,0,0
TGME49_269232,0,0,0,0,0,0,0,0
TGME49_269240,216,195,148,231,216,160,162,215
TGME49_269250,1983,2317,1194,1766,1983,2065,1504,1626
TGME49_269260,763,827,411,619,763,682,439,553
TGME49_269270,26,21,14,24,26,28,11,18
TGME49_269280,2,1,0,0,2,0,0,0
TGME49_269290,1644,1822,1097,1604,1644,1625,1329,1441
TGME49_269300,120,97,72,109,120,90,76,86
TGME49_269310,357,305,262,366,357,261,303,350
TGME49_269315,3,10,6,7,3,8,9,2
TGME49_269320,987,1051,584,842,987,960,786,787
TGME49_269330,1334,1439,899,1264,1334,1272,1071,1132
TGME49_269340,4288,3326,2537,3843,4288,3086,2859,3462
TGME49_269350,5,9,4,8,5,3,6,6
TGME49_269365,2,0,3,1,2,1,1,3
TGME49_269380,2,1,0,2,2,2,1,2
TGME49_269390,1310,1379,824,1272,1310,1354,995,1102
TGME49_269400,4,8,3,1,4,9,1,3
TGME49_269410,457,604,331,412,457,532,394,320
TGME49_269413,0,0,0,0,0,0,0,0
TGME49_269417,369,664,375,517,369,639,413,454
TGME49_269420,4872,5348,3779,4983,4872,4824,5089,4208
TGME49_269425,368,662,319,415,368,668,388,369
TGME49_269430,734,959,466,718,734,913,583,604
TGME49_269438,633,905,546,721,633,828,621,587
TGME49_269442,1499,1997,1217,1757,1499,2033,1351,1429
TGME49_269450,454,659,393,538,454,611,480,472
TGME49_269460,1798,1285,1142,1896,1798,1294,1341,1495
TGME49_269470,3,7,0,3,3,5,2,3
TGME49_269480,537,658,352,537,537,569,456,446
TGME49_269582,0,0,1,0,0,1,2,0
TGME49_269588,33,43,11,30,33,43,12,20
TGME49_269600,46,100,52,41,46,53,56,33
TGME49_269620,1373,1390,896,1227,1373,1187,1169,987
TGME49_269630,460,473,273,419,460,426,343,355
TGME49_269640,8,14,5,18,8,10,6,6
TGME49_269650,1620,1958,1058,1501,1620,1617,1244,1277
TGME49_269660,1806,2399,1544,2065,1806,2246,1777,1687
TGME49_269670,1697,2006,1197,1739,1697,1765,1560,1613
TGME49_269680,18,18,7,12,18,22,3,15
TGME49_269690,4838,8366,4998,6396,4838,8017,5845,5268
TGME49_269700,4369,6268,2755,4089,4369,6134,3257,3473
TGME49_269705,184,200,117,179,184,153,150,151
TGME49_269710,3663,3904,2355,3481,3663,3680,2818,2865
TGME49_269720,1095,1364,725,912,1095,1313,846,878
TGME49_269730,4255,4743,2410,4194,4255,4366,2913,3579
TGME49_269740,405,517,329,428,405,511,390,417
TGME49_269750,298,471,265,322,298,445,356,301
TGME49_269760,515,645,402,635,515,601,514,512
TGME49_269770,865,1081,555,731,865,936,641,616
TGME49_269775,438,404,266,348,438,387,328,302
TGME49_269780,549,584,428,524,549,547,485,455
TGME49_269790,4,8,4,2,4,5,1,6
TGME49_269800,1630,1884,1087,1567,1630,1831,1356,1381
TGME49_269810,0,0,0,0,0,0,0,0
TGME49_269820,0,2,0,1,0,1,0,0
TGME49_269830,398,492,289,373,398,477,308,354
TGME49_269840,2185,2659,1517,1998,2185,2421,1792,1720
TGME49_269850,1,12,0,6,1,6,3,2
TGME49_269860,5,8,1,1,5,11,1,3
TGME49_269885,3684,3116,2272,3502,3684,2817,2732,3095
TGME49_269900,3008,3269,1922,2489,3008,2905,2494,2388
TGME49_269910,42,34,34,58,42,30,36,49
TGME49_269920,5731,6273,3695,5699,5731,6163,4381,5079
TGME49_269930,3060,3135,2497,3227,3060,2887,2916,2856
TGME49_269940,794,979,570,792,794,877,650,702
TGME49_269950,10555,13080,7600,10733,10555,12362,9152,9068
TGME49_269960,377,586,359,420,377,550,417,382
TGME49_269970,1510,2045,1232,1484,1510,1843,1374,1279
TGME49_269980,5561,7015,3860,5585,5561,6171,4519,4882
TGME49_269990,1956,2369,1377,2176,1956,2159,1710,1794
TGME49_270000,603,756,406,567,603,758,504,445
TGME49_270010,1164,1482,798,1092,1164,1420,953,909
TGME49_270020,188,254,123,177,188,281,134,168
TGME49_270030,22,74,4,13,22,52,5,18
TGME49_270040,25,48,9,13,25,50,4,17
TGME49_270050,699,1048,712,786,699,1050,763,664
TGME49_270060,830,974,557,755,830,877,690,660
TGME49_270070,300,431,230,301,300,381,297,271
TGME49_270080,14,24,16,23,14,21,17,19
TGME49_270090,1294,1061,722,1055,1294,889,873,984
TGME49_270100,1146,1252,732,965,1146,1130,864,870
TGME49_270110,0,0,0,0,0,0,0,0
TGME49_270120,1035,1192,639,902,1035,1156,777,801
TGME49_270130,551,678,343,421,551,546,391,365
TGME49_270140,710,848,456,616,710,772,537,566
TGME49_270150,1079,1114,715,894,1079,1063,782,739
TGME49_270160,473,619,350,469,473,583,367,404
TGME49_270170,1546,1911,1130,1501,1546,1835,1377,1214
TGME49_270180,3,6,0,5,3,10,0,4
TGME49_270190,897,1063,685,1032,897,987,840,878
TGME49_270200,1074,1463,832,1225,1074,1416,917,1113
TGME49_270210,137,150,77,136,137,139,137,108
TGME49_270220,819,1004,598,781,819,919,666,705
TGME49_270230,1028,1056,700,906,1028,938,838,787
TGME49_270240,15089,20862,14078,16116,15089,18560,16283,14697
TGME49_270250,233145,336592,171940,232022,233145,334825,193488,201530
TGME49_270260,150,294,145,210,150,284,147,162
TGME49_270270,916,1178,730,888,916,1095,852,805
TGME49_270273,6,25,12,9,6,15,7,6
TGME49_270277,0,3,0,0,0,0,0,0
TGME49_270280,1,0,0,0,1,0,0,0
TGME49_270290,0,0,0,0,0,0,0,0
TGME49_270300,1960,2726,1520,1999,1960,2675,1676,1728
TGME49_270310,758,965,548,787,758,884,665,695
TGME49_270320,7789,9944,6480,8150,7789,9669,7543,6912
TGME49_270330,1085,1208,669,876,1085,1086,760,806
TGME49_270340,53,55,26,37,53,49,40,16
TGME49_270350,1641,1385,926,1485,1641,1214,1058,1227
TGME49_270360,1345,1702,1021,1207,1345,1564,1031,1160
TGME49_270370,560,754,373,532,560,646,443,497
TGME49_270380,14203,16650,8011,12049,14203,15336,9220,10530
TGME49_270450,707,731,397,608,707,649,507,463
TGME49_270510,8553,8934,4807,6065,8553,7350,5540,5203
TGME49_270520,2983,3993,2129,2405,2983,3620,2455,2162
TGME49_270530,1037,1261,690,978,1037,1134,838,890
TGME49_270540,155,206,111,135,155,209,139,112
TGME49_270550,441,408,282,404,441,362,328,308
TGME49_270560,177,227,115,147,177,210,173,145
TGME49_270570,881,992,531,776,881,884,663,633
TGME49_270580,1195,1338,802,1069,1195,1233,963,932
TGME49_270595,3566,3823,2046,3192,3566,3558,2657,2894
TGME49_270610,723,1048,583,704,723,989,623,688
TGME49_270620,609,799,480,590,609,771,555,478
TGME49_270630,346,488,241,318,346,450,304,300
TGME49_270640,2049,2366,1389,1979,2049,2268,1542,1642
TGME49_270650,740,917,536,603,740,854,611,549
TGME49_270655,32,33,24,27,32,16,11,32
TGME49_270660,1,0,1,0,1,1,0,0
TGME49_270670,411,500,265,398,411,457,338,358
TGME49_270680,34,27,16,33,34,20,26,27
TGME49_270690,1799,2258,1204,1615,1799,1941,1435,1444
TGME49_270700,4036,5777,3324,4362,4036,6057,3647,3722
TGME49_270710,868,1249,715,964,868,1154,804,743
TGME49_270720,559,603,353,552,559,498,418,503
TGME49_270740,567,786,458,509,567,780,501,496
TGME49_270750,3448,3944,2279,3157,3448,3294,2832,2588
TGME49_270760,601,625,382,519,601,525,507,492
TGME49_270770,1812,2083,1272,1676,1812,2004,1489,1486
TGME49_270780,417,551,308,335,417,522,360,314
TGME49_270790,275,370,188,249,275,353,232,223
TGME49_270800,2507,3618,1997,2799,2507,3489,2569,2488
TGME49_270805,830,1024,550,794,830,912,742,630
TGME49_270810,894,1114,591,887,894,1059,716,747
TGME49_270820,0,0,0,1,0,1,1,0
TGME49_270830,1321,1836,1051,1282,1321,1582,1091,1158
TGME49_270840,940,1257,738,1008,940,1067,962,928
TGME49_270850,15,28,21,27,15,29,19,22
TGME49_270865,4257,5330,3325,4830,4257,5240,3959,3943
TGME49_270880,6531,8060,4310,6398,6531,7407,5369,5239
TGME49_270890,461,538,366,619,461,509,446,532
TGME49_270900,658,731,491,584,658,624,572,498
TGME49_270910,160,149,78,120,160,114,90,104
TGME49_270920,1216,1531,846,1201,1216,1408,1026,1143
TGME49_270925,16,7,6,8,16,11,18,14
TGME49_270930,2545,3152,1783,2581,2545,2821,2210,2185
TGME49_270940,543,581,385,573,543,558,458,508
TGME49_270950,35,61,18,37,35,43,23,31
TGME49_270960,695,858,476,614,695,781,549,568
TGME49_270970,0,0,0,0,0,0,0,0
TGME49_270975,425,366,302,436,425,402,308,379
TGME49_270980,359,298,169,271,359,276,225,238
TGME49_271000,415,405,332,542,415,437,336,460
TGME49_271010,1479,1507,895,1368,1479,1431,1156,1242
TGME49_271015,1,1,2,0,1,1,1,0
TGME49_271025,390,472,212,385,390,439,324,360
TGME49_271030,4080,4421,3030,4360,4080,4034,4029,3885
TGME49_271033,252,181,137,222,252,177,194,219
TGME49_271037,103,121,70,122,103,100,121,98
TGME49_271040,2,2,0,3,2,10,1,4
TGME49_271050,91707,112417,69780,95507,91707,105745,79497,82800
TGME49_271060,840,868,434,615,840,698,564,555
TGME49_271070,114,170,106,134,114,126,142,140
TGME49_271080,260,376,227,292,260,291,298,279
TGME49_271090,156,124,122,135,156,145,111,153
TGME49_271100,892,1199,601,888,892,1149,755,751
TGME49_271110,959,1040,616,850,959,976,754,706
TGME49_271115,14,10,7,13,14,11,8,13
TGME49_271120,787,878,606,871,787,794,742,699
TGME49_271145,949,1205,685,1044,949,1063,911,866
TGME49_271170,1111,1497,738,1075,1111,1358,881,929
TGME49_271174,60,112,43,57,60,85,52,57
TGME49_271178,144,226,127,155,144,236,138,143
TGME49_271182,184,214,141,182,184,213,163,145
TGME49_271190,591,718,348,569,591,568,483,491
TGME49_271200,719,795,513,791,719,641,590,647
TGME49_271210,3,5,4,3,3,1,2,1
TGME49_271220,3,1,5,1,3,1,0,1
TGME49_271240,1373,1677,854,1243,1373,1559,1131,1181
TGME49_271250,275,446,255,256,275,375,201,276
TGME49_271260,2046,2486,1656,2491,2046,2401,1889,2076
TGME49_271270,1981,1904,1426,2203,1981,1717,1661,1939
TGME49_271280,210,322,194,198,210,303,177,146
TGME49_271285,3,1,4,2,3,6,0,3
TGME49_271290,455,533,323,395,455,523,372,368
TGME49_271300,534,600,350,445,534,600,420,365
TGME49_271310,20,16,36,14,20,16,33,32
TGME49_271315,14,14,8,9,14,8,8,8
TGME49_271320,94,259,201,156,94,267,222,133
TGME49_271335,529,664,290,473,529,602,326,424
TGME49_271350,793,1116,584,758,793,956,770,643
TGME49_271360,268,299,170,276,268,301,226,218
TGME49_271370,463,459,271,498,463,465,362,421
TGME49_271375,46,45,41,51,46,37,45,51
TGME49_271380,1069,1476,854,1235,1069,1319,993,954
TGME49_271390,269,279,204,262,269,294,227,212
TGME49_271400,284,273,176,202,284,241,194,210
TGME49_271410,48,73,41,51,48,63,60,51
TGME49_271420,223,314,162,229,223,302,204,173
TGME49_271430,1008,1131,811,1144,1008,1042,887,1025
TGME49_271440,571,595,363,568,571,571,413,426
TGME49_271450,200,222,92,147,200,172,121,144
TGME49_271460,1340,1895,1047,1501,1340,1800,1277,1302
TGME49_271470,1886,2278,1250,1792,1886,2136,1631,1519
TGME49_271570,0,0,0,0,0,0,0,0
TGME49_271580,4,8,1,2,4,9,4,5
TGME49_271590,0,0,0,0,0,2,0,0
TGME49_271600,490,556,304,413,490,565,365,384
TGME49_271610,1791,2713,1461,1873,1791,2706,1758,1642
TGME49_271625,826,1088,544,797,826,1044,626,675
TGME49_271740,2923,3537,2049,2827,2923,3276,2585,2383
TGME49_271750,456,495,418,524,456,481,441,412
TGME49_271760,952,993,610,753,952,835,641,655
TGME49_271770,1077,670,504,794,1077,534,666,684
TGME49_271780,820,798,619,916,820,727,742,885
TGME49_271790,1668,2269,1350,1798,1668,1988,1467,1529
TGME49_271800,1116,1570,834,1258,1116,1563,984,1008
TGME49_271810,2238,2872,1682,2236,2238,2491,2077,1938
TGME49_271820,1127,1419,823,1129,1127,1377,1027,895
TGME49_271830,0,0,0,0,0,0,0,0
TGME49_271840,600,801,440,639,600,772,552,518
TGME49_271850,62,88,44,75,62,108,60,59
TGME49_271860,480,512,257,439,480,459,320,411
TGME49_271870,769,808,457,687,769,829,569,618
TGME49_271880,1063,1300,765,1220,1063,1295,924,1042
TGME49_271888,716,1050,615,849,716,839,785,721
TGME49_271891,1,1,0,2,1,0,0,0
TGME49_271892,16,18,3,5,16,11,9,8
TGME49_271910,234,294,167,230,234,278,230,184
TGME49_271920,719,876,493,701,719,799,583,563
TGME49_271930,5878,8573,5907,6557,5878,8105,6374,5437
TGME49_271935,1082,1697,1052,1316,1082,1629,1229,1042
TGME49_271950,487,638,307,440,487,462,362,418
TGME49_271960,1408,1424,900,1213,1408,1504,1087,1045
TGME49_271970,15925,21829,13439,18167,15925,20070,15044,15431
TGME49_271980,1,7,1,1,1,1,0,5
TGME49_271985,0,0,1,1,0,1,0,0
TGME49_271990,1411,1665,1023,1397,1411,1663,1280,1188
TGME49_272000,933,1167,755,1091,933,1099,888,840
TGME49_272010,894,1247,602,758,894,1064,695,630
TGME49_272020,4,4,3,6,4,11,2,4
TGME49_272030,953,1319,749,1167,953,1211,865,926
TGME49_272040,447,497,235,322,447,429,286,319
TGME49_272155,1174,991,550,985,1174,804,793,798
TGME49_272180,390,441,240,302,390,429,287,270
TGME49_272190,266,301,199,267,266,296,275,239
TGME49_272200,9,6,5,6,9,6,5,3
TGME49_272210,556,600,349,510,556,552,362,436
TGME49_272220,0,0,1,1,0,2,0,1
TGME49_272230,448,621,329,451,448,556,411,369
TGME49_272240,127,178,80,118,127,137,97,101
TGME49_272260,4,10,13,7,4,9,5,4
TGME49_272265,3,3,1,0,3,3,2,2
TGME49_272270,856,1116,570,806,856,1069,702,750
TGME49_272280,1,4,2,2,1,4,1,3
TGME49_272285,5,15,12,12,5,17,19,11
TGME49_272290,681,787,488,612,681,596,645,553
TGME49_272300,38,47,38,56,38,43,44,48
TGME49_272320,906,1121,631,893,906,1060,837,747
TGME49_272340,650,714,415,564,650,690,484,505
TGME49_272350,523,721,367,493,523,619,436,412
TGME49_272360,0,1,1,2,0,0,0,1
TGME49_272370,8007,11548,6382,9348,8007,11672,8140,8195
TGME49_272380,3282,4788,3049,3734,3282,4662,3478,3156
TGME49_272383,167,211,109,144,167,187,127,138
TGME49_272390,585,631,361,448,585,615,386,423
TGME49_272400,711,844,469,626,711,676,508,476
TGME49_272410,1206,1415,625,895,1206,1207,740,776
TGME49_272415,0,1,1,0,0,2,0,4
TGME49_272420,1875,2296,1160,1742,1875,2195,1467,1538
TGME49_272430,15,15,17,16,15,13,23,11
TGME49_272440,19,40,48,32,19,35,36,25
TGME49_272450,0,0,1,0,0,0,0,0
TGME49_272460,2012,2653,1507,2073,2012,2462,1794,1878
TGME49_272475,937,1204,636,859,937,1060,854,842
TGME49_272490,452,517,285,401,452,481,389,306
TGME49_272500,2058,2455,1300,1911,2058,2311,1652,1713
TGME49_272510,9,16,4,13,9,14,1,5
TGME49_272520,1938,2332,1286,1626,1938,2290,1556,1506
TGME49_272530,744,1091,612,748,744,1010,732,664
TGME49_272540,30,43,10,30,30,31,15,21
TGME49_272550,1882,1962,1184,1747,1882,1690,1564,1504
TGME49_272560,0,0,0,0,0,0,0,0
TGME49_272570,378,420,237,356,378,360,329,328
TGME49_272580,0,0,0,0,0,0,0,0
TGME49_272590,15,11,23,8,15,8,10,5
TGME49_272593,46,30,17,38,46,22,27,47
TGME49_272595,75,63,46,71,75,57,56,82
TGME49_272600,2301,2725,1671,2472,2301,2514,2106,2195
TGME49_272620,2,2,0,2,2,3,2,2
TGME49_272630,113,150,89,86,113,142,90,96
TGME49_272640,1251,1533,942,1435,1251,1454,1235,1269
TGME49_272645,63,46,39,77,63,49,42,50
TGME49_272650,1075,1197,842,1332,1075,1062,1012,1066
TGME49_272660,3272,3234,2283,2854,3272,2881,2655,2532
TGME49_272670,970,1147,580,950,970,1033,741,817
TGME49_272680,761,860,513,726,761,871,573,616
TGME49_272695,1144,1586,888,1028,1144,1540,967,930
TGME49_272710,3306,4092,2236,3788,3306,3766,2967,3110
TGME49_272720,1001,1237,770,975,1001,1205,901,939
TGME49_272730,199,304,194,246,199,302,185,218
TGME49_272740,1383,1739,1040,1327,1383,1550,1190,1102
TGME49_272760,356,497,243,331,356,426,284,318
TGME49_272770,862,1038,601,792,862,1000,788,673
TGME49_272890,12,25,12,16,12,16,18,9
TGME49_272900,489,406,306,423,489,344,356,383
TGME49_272905,1,4,0,2,1,1,0,0
TGME49_272910,2541,3279,1943,2359,2541,3067,2020,2166
TGME49_273020,7,20,10,13,7,12,6,9
TGME49_273030,776,822,489,658,776,680,549,595
TGME49_273040,0,1,0,1,0,3,1,0
TGME49_273050,1649,2228,1242,1841,1649,2305,1477,1574
TGME49_273060,767,940,495,655,767,856,620,602
TGME49_273065,17,13,3,8,17,12,5,7
TGME49_273070,3750,5046,2383,3571,3750,4613,2749,3040
TGME49_273075,10,14,2,9,10,10,10,10
TGME49_273080,12,6,7,14,12,10,4,13
TGME49_273090,7189,8302,4867,7211,7189,7210,5736,6110
TGME49_273100,353,475,248,341,353,435,313,266
TGME49_273110,31,45,54,49,31,44,41,51
TGME49_273120,71,94,46,99,71,100,53,75
TGME49_273130,80,92,70,132,80,78,109,150
TGME49_273140,999,1224,640,992,999,1043,754,932
TGME49_273150,284,370,183,272,284,294,218,237
TGME49_273200,917,1032,588,870,917,942,670,719
TGME49_273280,109,106,86,110,109,103,82,107
TGME49_273290,845,946,557,785,845,879,668,668
TGME49_273300,158,199,91,165,158,172,109,127
TGME49_273310,1390,2191,1164,1586,1390,2139,1552,1398
TGME49_273320,3550,6695,3620,4410,3550,6529,4311,3729
TGME49_273330,316,418,182,277,316,369,297,275
TGME49_273340,1,4,1,2,1,1,1,3
TGME49_273350,906,1010,625,788,906,936,722,744
TGME49_273360,1206,1401,769,1161,1206,1276,915,1010
TGME49_273370,1113,1200,696,1009,1113,1155,882,840
TGME49_273380,1222,1741,986,1362,1222,1675,1183,1062
TGME49_273390,144,168,70,127,144,158,107,93
TGME49_273400,296,290,182,261,296,311,198,234
TGME49_273410,228,341,180,251,228,263,203,216
TGME49_273420,0,0,0,0,0,0,0,1
TGME49_273430,153,137,103,116,153,133,106,87
TGME49_273445,1147,1252,720,997,1147,1212,835,859
TGME49_273460,4564,5497,2811,3791,4564,4898,3308,3300
TGME49_273468,6,3,1,1,6,4,2,5
TGME49_273472,0,1,0,0,0,0,0,1
TGME49_273478,6,3,5,1,6,4,2,2
TGME49_273490,1454,1726,925,1204,1454,1586,1099,1054
TGME49_273500,630,742,402,573,630,573,458,491
TGME49_273510,5,8,3,2,5,5,0,3
TGME49_273520,3342,4296,2097,2947,3342,3715,2605,2417
TGME49_273530,194,228,122,233,194,215,185,212
TGME49_273540,417,415,272,460,417,362,326,370
TGME49_273550,488,494,358,461,488,405,394,412
TGME49_273560,2906,3920,2535,3583,2906,3470,3120,3096
TGME49_273580,867,925,504,779,867,771,640,622
TGME49_273595,1007,1077,662,977,1007,1026,846,886
TGME49_273610,151,201,141,166,151,170,167,164
TGME49_273620,164,174,92,106,164,184,118,108
TGME49_273630,271,353,191,246,271,304,228,207
TGME49_273640,832,1118,638,838,832,967,746,747
TGME49_273650,59,61,27,39,59,55,32,48
TGME49_273660,2571,2615,1930,2745,2571,2482,2335,2320
TGME49_273670,534,764,401,582,534,691,501,497
TGME49_273690,1545,1862,888,1338,1545,1640,1168,1145
TGME49_273705,9,11,1,11,9,16,7,7
TGME49_273720,494,794,469,589,494,687,596,522
TGME49_273730,721,880,460,733,721,723,578,585
TGME49_273740,14,17,4,9,14,6,7,6
TGME49_273750,6,6,4,3,6,5,1,3
TGME49_273760,15311,18907,10476,12571,15311,17314,12610,11479
TGME49_273770,3410,4234,2342,3127,3410,3932,2717,2814
TGME49_273780,1554,1704,1024,1467,1554,1575,1317,1215
TGME49_273790,1671,2036,1177,1623,1671,2024,1385,1394
TGME49_273800,1551,1651,964,1406,1551,1366,1140,1146
TGME49_273815,961,1277,720,932,961,1182,826,878
TGME49_273830,389,457,284,354,389,458,337,343
TGME49_273840,569,815,413,528,569,756,499,480
TGME49_273850,997,1261,699,1000,997,1153,892,857
TGME49_273860,3545,4184,2709,3915,3545,3792,2987,3560
TGME49_273870,3227,4059,2216,3037,3227,3686,2729,2725
TGME49_273885,691,742,445,596,691,622,510,492
TGME49_273905,1081,1196,661,958,1081,1138,912,825
TGME49_273915,36,34,26,34,36,27,41,27
TGME49_273920,1039,1312,634,976,1039,1110,739,843
TGME49_273930,1438,1874,1285,1721,1438,1802,1452,1401
TGME49_273940,2,3,2,2,2,7,3,3
TGME49_273950,550,611,381,501,550,577,463,380
TGME49_273960,1823,2165,1222,1515,1823,2084,1416,1382
TGME49_273970,413,289,239,343,413,337,261,339
TGME49_273980,76,73,44,88,76,55,69,54
TGME49_273985,17,18,8,19,17,20,13,14
TGME49_273990,252,336,189,256,252,292,216,221
TGME49_273995,186,228,133,218,186,232,143,133
TGME49_274000,1571,1628,918,1734,1571,1492,1205,1387
TGME49_274010,1142,1249,788,1262,1142,1180,1016,960
TGME49_274020,6,4,2,2,6,5,3,0
TGME49_274030,3,6,2,1,3,1,0,2
TGME49_274040,17,12,7,7,17,12,10,8
TGME49_274050,690,887,514,658,690,910,587,564
TGME49_274060,2432,3120,1910,2338,2432,2770,2101,2280
TGME49_274070,591,817,509,558,591,670,529,501
TGME49_274080,13,23,11,13,13,16,9,9
TGME49_274090,88,93,42,97,88,99,54,61
TGME49_274100,409,493,289,360,409,484,349,358
TGME49_274110,1344,1632,859,1262,1344,1432,1069,1177
TGME49_274120,1116,1418,732,1105,1116,1298,893,962
TGME49_274130,808,742,491,675,808,591,572,598
TGME49_274140,0,3,4,3,0,6,1,1
TGME49_274150,1081,1126,621,784,1081,990,752,764
TGME49_274160,689,608,438,723,689,495,507,623
TGME49_274170,87,127,53,76,87,109,77,54
TGME49_274180,395,432,213,382,395,380,285,304
TGME49_274190,1485,1922,1054,1413,1485,1867,1260,1226
TGME49_274280,22,22,11,21,22,21,25,22
TGME49_274290,507,557,305,374,507,502,368,388
TGME49_274700,1,0,0,0,1,0,1,0
TGME49_275310,1871,2440,1387,1863,1871,2229,1597,1656
TGME49_275320,6235,7299,3655,5059,6235,6939,4391,4505
TGME49_275330,935,1295,644,942,935,1165,779,868
TGME49_275340,0,0,0,0,0,0,0,0
TGME49_275350,1387,1538,837,1226,1387,1310,1067,1092
TGME49_275355,25,57,30,48,25,53,35,45
TGME49_275360,6,12,8,11,6,12,12,6
TGME49_275370,89,93,65,120,89,77,73,96
TGME49_275380,2,6,0,3,2,2,0,0
TGME49_275390,9,3,3,3,9,8,5,4
TGME49_275400,118,82,62,86,118,66,84,71
