Geneid,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4
ZFX-AS1,1,0,0,0,3,1,0,1
ZFY,0,1,73,57,1,1,113,127
ZFY-AS1,0,0,0,1,0,0,2,0
ZFYVE1,172,192,355,186,968,811,832,852
ZFYVE16,1193,705,1164,891,4693,1678,2629,2507
ZFYVE19,36,38,49,16,85,69,113,57
ZFYVE21,161,227,117,110,41,71,62,54
ZFYVE26,166,166,496,330,594,345,628,461
ZFYVE27,666,828,646,398,1932,2003,1851,1608
ZFYVE28,26,10,60,15,61,61,176,62
ZFYVE9,0,1,9,0,12,7,23,7
ZG16,0,0,0,0,1,0,0,0
ZG16B,0,0,0,0,0,0,0,0
ZG16B_1,0,0,0,0,0,0,0,0
ZGLP1,1,0,1,0,2,0,0,1
ZGPAT,268,329,264,174,743,968,660,675
ZGRF1,67,39,84,93,57,16,90,52
ZHX1,92,102,72,68,94,46,98,63
ZHX1-C8orf76,2,5,3,2,14,5,4,5
ZHX2,967,1157,2089,691,2673,2397,2847,1749
ZHX3,3,4,14,6,24,13,27,20
ZIC1,0,0,0,0,0,0,0,0
ZIC2,0,0,0,0,0,0,0,0
ZIC3,0,0,0,0,0,0,0,0
ZIC4,0,0,0,0,0,0,0,0
ZIC4-AS1,0,0,0,0,0,0,0,0
ZIC5,1,0,0,1,0,0,0,0
ZIK1,11,7,24,9,28,16,37,21
ZIM2,0,0,0,0,0,0,0,0
ZIM2-AS1,0,0,0,0,0,0,0,0
ZIM3,0,0,0,0,0,0,0,0
ZKSCAN1,243,270,330,194,1325,799,1254,981
ZKSCAN2,8,12,12,12,17,14,28,14
ZKSCAN2-DT,15,4,15,6,46,23,30,40
ZKSCAN3,3,12,12,8,29,32,40,30
ZKSCAN4,40,66,37,25,201,307,235,246
ZKSCAN5,42,33,61,20,184,146,183,205
ZKSCAN7,0,0,0,0,0,0,0,0
ZKSCAN7_1,0,0,0,0,0,0,0,0
ZKSCAN7-AS1,0,0,0,0,0,0,0,0
ZKSCAN7-AS1_1,0,0,0,0,0,0,0,0
ZKSCAN8,90,89,165,59,460,172,683,267
ZKSCAN8P1,0,1,0,1,2,0,10,6
ZMAT1,55,61,80,30,259,135,286,89
ZMAT2,415,715,442,349,1631,2679,1561,1964
ZMAT3,105,77,97,75,323,143,225,180
ZMAT4,0,0,0,0,0,0,0,0
ZMAT5,52,107,55,40,217,365,270,234
ZMIZ1,5506,5560,6988,3334,20921,16480,17364,12815
ZMIZ1-AS1,1,2,7,1,9,10,5,3
ZMIZ2,275,341,540,182,836,772,1026,471
ZMPSTE24,116,117,84,77,525,393,382,389
ZMYM1,13,9,31,7,48,23,73,30
ZMYM2,564,528,399,336,2081,1185,1711,1389
ZMYM3,21,14,54,9,85,37,210,52
ZMYM4,10,3,42,17,92,38,148,48
ZMYM4-AS1,0,0,0,0,0,0,0,0
ZMYM5,203,185,134,147,283,215,229,200
ZMYM6,49,38,69,18,329,169,255,187
ZMYND10,7,29,8,4,45,124,63,54
ZMYND11,29,39,76,24,151,78,250,129
ZMYND12,1,0,0,0,0,0,1,0
ZMYND15,460,670,347,321,608,1050,706,675
ZMYND19,109,224,104,118,25,8,47,16
ZMYND8,93,83,74,41,604,551,572,510
ZNF10,38,28,36,49,54,29,60,27
ZNF100,0,2,0,0,0,1,0,0
ZNF100_1,0,0,0,0,0,1,0,1
ZNF101,92,77,139,62,323,237,405,279
ZNF106,477,381,361,271,3462,1974,2771,2930
ZNF107,103,581,255,392,261,697,401,603
ZNF112,0,0,0,0,0,0,2,2
