Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,LPS_1,LPS_2,LPS_3,LPS_4
PTX4,0,0,0,1,0,0,0,0
PUDP,12,8,9,1,22,14,43,9
PUF60,0,3,1,0,0,0,1,5
PUF60_1,0,0,0,0,0,0,0,0
PUM1,592,529,324,321,1257,1198,1993,1293
PUM2,2152,1881,1119,1209,3927,4198,6265,4010
PUM3,46,14,45,15,73,23,113,24
PURA,106,78,77,60,145,104,316,96
PURB,1539,1040,989,993,1952,1295,2655,1351
PURG,0,0,0,0,0,0,1,0
PURPL,0,0,0,0,0,0,0,0
PUS1,35,17,22,10,64,17,117,8
PUS10,65,44,36,39,507,212,391,217
PUS1-AS1,0,0,0,0,0,1,2,0
PUS3,11,10,17,5,29,11,40,22
PUS7,15,3,6,5,8,10,35,11
PUS7L,139,154,70,53,113,35,182,37
PUSL1,219,354,171,190,36,44,87,27
PVALB,0,0,0,0,0,0,0,0
PVALB_1,0,0,0,0,0,0,0,0
PVALEF,0,1,0,0,0,3,1,1
PVR,107,92,62,26,117,116,133,44
PVRIG,92,39,56,33,151,72,338,105
PVRIG2P,0,0,0,0,0,0,0,0
PVT1,19,22,14,13,37,30,57,5
PWAR1,1,0,0,0,0,0,0,0
PWAR4,0,0,0,0,0,0,0,0
PWAR5,7,0,7,0,13,1,43,1
PWAR6,3,0,2,1,13,7,22,7
PWARSN,1,0,0,0,5,1,9,0
PWP1,69,57,34,11,133,111,228,59
PWP2,14,0,8,3,17,10,30,18
PWRN1,0,0,0,0,0,0,0,0
PWRN1_1,0,0,0,0,0,0,0,0
PWRN2,0,0,0,0,0,0,0,0
PWRN2_1,0,0,0,0,0,0,0,0
PWRN3,0,0,0,0,0,0,0,0
PWRN3_1,0,0,0,0,0,0,0,0
PWRN4,0,0,0,0,0,0,0,0
PWRN4_1,0,0,0,0,0,0,0,0
PWWP2A,250,185,160,106,268,256,494,214
PWWP2B,113,93,86,71,64,136,212,45
PWWP3A,54,60,66,50,79,55,275,84
PWWP3B,0,0,0,0,0,0,0,0
PWWP4,0,0,0,0,0,0,1,0
PXDC1,196,313,103,100,28,149,62,34
PXDN,0,1,3,0,2,0,9,0
PXDNL,1,1,2,1,11,15,10,12
PXK,973,1067,443,526,1366,2270,2135,1315
PXMP2,11,22,15,7,5,1,18,6
PXMP4,18,3,13,9,40,14,87,36
PXN,1754,2765,1183,1028,4283,12231,9619,6098
PXN-AS1,0,2,1,0,5,14,12,9
PXT1,17,7,6,5,15,4,8,0
PXYLP1,97,62,48,38,118,28,118,43
PYCARD,133,314,92,73,152,1217,532,304
PYCARD-AS1,1,7,0,1,4,15,10,7
PYCR1,11,4,7,2,3,0,7,3
PYCR2,198,310,162,98,269,413,776,301
PYCR3,0,0,0,0,0,0,0,0
PYCR3_1,0,0,0,0,0,0,1,0
PYDC1,1,0,0,0,0,0,0,0
PYDC2,0,0,0,0,0,0,0,0
PYDC2-AS1,0,0,0,0,0,0,0,0
PYDC5,0,1,2,1,0,1,2,0
PYGB,116,128,97,54,151,182,478,95
PYGL,756,1173,369,354,627,880,651,438
PYGM,34,58,13,15,100,189,200,113
PYGO1,0,0,0,0,0,1,1,0
PYGO2,112,142,135,59,258,309,796,244
PYHIN1,28,8,48,19,52,16,244,57
PYM1,8,14,18,4,33,37,96,40
PYROXD1,46,43,27,19,93,97,96,52
PYROXD2,16,16,14,10,19,55,90,37
PYURF,0,0,0,0,0,0,0,0
PYY,0,0,0,0,0,0,0,0
