Geneid,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
TINCR,14,9,18,11,14,13,22,18
TINF2,0,0,1,0,6,3,1,2
TINF2_1,0,0,0,0,0,0,0,0
TIPARP,852,680,630,727,883,626,925,573
TIPARP-AS1,5,1,1,3,1,0,4,1
TIPIN,3,1,4,3,35,21,37,46
TIPRL,317,294,331,305,341,352,530,289
TIRAP,218,300,289,204,273,289,535,257
TIRAP-AS1,50,83,55,45,40,65,102,57
TJAP1,598,483,638,391,2170,1605,2493,1403
TJP1,0,0,0,1,0,0,0,0
TJP1_1,0,0,0,0,0,0,0,0
TJP1_2,0,0,0,0,0,0,0,0
TJP2,142,121,35,82,179,427,167,185
TJP3,8,5,24,5,5,17,24,1
TK1,12,11,18,8,24,7,62,32
TK2,438,875,431,446,124,594,519,250
TKFC,44,44,80,30,63,64,142,52
TKT,14208,15377,7845,13648,1639,3864,2857,2453
TKTL1,285,263,263,144,154,124,383,59
TKTL2,0,0,0,0,1,0,1,0
TLCD1,0,0,3,0,8,6,13,11
TLCD2,0,0,1,0,0,0,0,0
TLCD2_1,1,0,0,0,1,1,0,0
TLCD3A,8,3,11,3,208,61,146,79
TLCD3B,0,0,0,0,0,0,0,0
TLCD4,1,1,2,0,0,1,0,1
TLCD4-RWDD3,2,0,1,2,2,0,1,0
TLCD5,2,0,2,0,3,1,4,0
TLDC2,10,4,10,6,59,3,22,12
TLE1,39,17,78,16,105,105,236,81
TLE1-DT,0,0,0,0,0,0,1,2
TLE2,18,12,43,4,28,12,88,1
TLE3,8460,12655,7953,7982,21269,19204,27386,16337
TLE4,3015,3396,1986,2461,1734,2154,2502,1650
TLE5,762,508,1476,487,869,553,2387,440
TLE6,0,1,1,0,1,1,0,0
TLE7,0,0,0,0,0,0,0,0
TLK1,1070,691,656,518,616,763,804,406
TLK2,991,765,690,782,711,791,1079,702
TLL1,0,0,0,0,0,0,0,0
TLL2,2,0,1,0,1,2,4,1
TLN1,26229,35173,22847,26916,33799,28770,37380,26659
TLN2,4,0,0,0,0,0,0,0
TLNRD1,420,541,386,361,603,809,808,550
TLR1,13670,12099,9847,11616,4046,10294,11312,9395
TLR10,673,467,597,575,91,348,432,251
TLR2,5324,2593,2203,2450,26094,22126,20563,13064
TLR3,1,1,4,3,2,0,17,3
TLR4,15010,13036,9203,10837,42461,20119,31522,21081
TLR5,16,16,13,14,9,12,12,6
TLR6,8857,7765,5591,7416,1757,5530,4587,3971
TLR7,70,15,23,13,54,4,87,9
TLR8,2639,1785,2235,3266,663,1008,1797,1548
TLR8-AS1,6,6,3,7,1,5,12,10
TLR9,722,1096,994,562,156,600,849,269
TLX1,0,0,0,0,0,0,1,0
TLX1NB,0,0,0,0,0,0,0,0
TLX2,0,0,0,0,0,0,0,0
TLX3,0,0,0,0,0,0,0,0
TM2D1,97,89,93,77,106,83,141,66
TM2D2,118,112,128,82,67,163,211,65
TM2D3,731,1123,670,680,653,914,946,548
TM4SF1,0,0,0,0,0,0,0,0
TM4SF18,0,0,0,0,0,0,0,0
TM4SF18-AS1,0,0,0,0,0,0,0,0
TM4SF19,0,0,0,0,0,0,0,0
TM4SF19-AS1,0,0,2,0,1,2,4,0
TM4SF19-DYNLT2B,0,0,1,0,0,0,0,0
TM4SF1-AS1,0,0,0,0,0,0,0,0
TM4SF20,3,0,0,0,0,0,1,0
TM4SF4,0,0,0,0,0,0,0,0
TM4SF5,0,0,0,0,0,0,0,0
TM6SF1,1828,1093,1040,1268,368,551,791,504
TM6SF2,0,0,0,0,0,1,0,0
TM7SF2,8,8,24,6,11,8,29,2
TM7SF3,283,304,328,273,71,67,168,65
TM9SF1,0,0,0,0,0,0,1,0
TM9SF1_1,0,0,0,0,0,0,0,0
TM9SF2,5841,4973,4499,5089,3759,3764,5116,3185
TM9SF3,3722,2819,2878,2510,5225,3064,5183,2596
TM9SF4,1975,2058,2093,1587,7912,7191,9772,6022
TMA16,6,6,11,12,12,6,21,6
TMA7,618,954,656,633,695,876,1198,613
TMA7B,7,12,3,4,8,8,10,6
TMBIM1,8932,13123,9232,7354,13404,19307,21177,11240
TMBIM4,2045,2193,1987,1751,4533,4002,5828,3250
TMBIM6,13761,17518,12328,12764,15598,17650,21239,11771
TMBIM7P,0,0,0,0,0,0,0,0
TMC1,0,0,0,0,0,0,0,0
TMC2,1,1,5,3,2,0,6,0
TMC3,3,0,2,3,0,3,1,2
TMC3-AS1,2,0,0,1,0,2,3,1
TMC4,0,0,0,0,0,0,0,0
TMC4_1,0,0,0,0,0,0,0,0
TMC4_2,0,0,0,0,0,0,0,0
TMC4_3,0,0,0,0,0,0,0,0
TMC4_4,0,0,0,0,0,0,0,0
TMC4_5,0,0,0,0,0,0,0,0
TMC4_6,0,0,0,0,0,0,0,0
TMC4_7,0,0,0,0,0,0,0,0
TMC4_8,0,0,0,0,0,0,0,0
TMC4_9,0,0,0,0,0,0,0,0
TMC5,5,4,4,6,1,1,1,2
TMC6,4678,4051,4733,3044,1127,1177,3214,838
TMC7,0,0,0,0,0,0,2,0
TMC8,2475,2036,2454,2230,698,829,1839,634
TMCC1,2988,2549,2572,2251,2847,3565,5443,2806
TMCC1-DT,25,22,21,22,9,32,35,14
TMCC2,13,6,16,12,10,6,26,12
TMCC2-AS1,0,0,0,0,0,0,0,0
TMCC3,6092,8215,4629,5697,1145,4257,3469,2843
TMCO1,454,475,449,445,546,526,777,456
TMCO1-AS1,0,1,0,1,2,2,3,0
TMCO2,0,0,0,0,0,0,1,3
TMCO3,2176,2631,1024,1392,608,2886,1261,1098
TMCO4,26,19,50,27,38,16,92,25
TMCO5A,0,0,0,0,0,7,2,4
TMCO5B,0,0,0,0,0,0,0,0
TMCO6,290,505,334,357,169,384,506,285
TMDD1,0,0,0,0,0,0,0,0
TMED1,312,550,288,293,218,458,438,260
TMED10,817,761,954,696,1423,1076,2248,828
TMED10P1,15,9,9,3,11,5,3,7
TMED11P,0,1,5,2,0,1,3,0
TMED2,1276,1418,1260,1165,1634,1354,1974,995
TMED2-DT,5,0,6,9,3,1,6,4
TMED3,51,41,57,32,52,46,121,35
TMED4,881,1151,1002,739,661,1256,1472,594
TMED5,1787,1714,915,1427,1881,1596,1345,1133
TMED6,6,10,13,12,7,13,17,7
TMED7,362,293,263,242,312,186,235,125
TMED7-TICAM2,0,0,0,0,0,0,0,0
TMED8,203,114,248,198,93,68,262,112
TMED9,569,995,729,593,673,1024,1298,572
TMEFF1,0,0,0,0,0,0,0,0
TMEFF2,0,0,0,0,0,0,2,0
TMEM100,0,0,0,1,0,0,0,0
TMEM101,81,111,101,74,46,54,120,36
TMEM102,0,0,0,0,0,0,0,0
TMEM102_1,0,0,0,0,0,1,0,0
TMEM104,259,464,409,241,95,140,274,74
TMEM105,0,0,0,0,0,0,0,0
TMEM106A,124,65,84,73,974,195,474,265
TMEM106B,338,227,196,272,158,232,294,237
TMEM106C,43,17,55,21,55,19,117,45
TMEM107,22,34,47,20,10,15,32,2
TMEM108,1,0,1,1,0,0,0,0
TMEM108-AS1,0,0,0,0,0,0,0,0
TMEM109,80,60,217,66,98,85,376,110
TMEM109-DT,0,0,1,1,0,0,8,0
TMEM11,158,200,169,185,99,177,246,115
TMEM114,0,0,0,0,0,0,0,0
TMEM115,399,766,435,396,566,1032,1054,665
TMEM116,11,9,10,10,12,14,31,7
TMEM117,12,5,11,9,13,6,21,5
TMEM119,35,103,63,164,14,48,35,39
TMEM11-DT,7,5,2,2,3,1,16,2
TMEM120A,2144,3016,2069,1846,4072,3059,5847,4243
TMEM120B,298,272,261,261,683,704,749,423
TMEM121,0,1,7,0,2,0,10,0
TMEM121B,236,164,52,231,169,131,81,149
TMEM123,5637,3022,4532,4138,9223,4200,9846,6470
TMEM123-DT,7,6,3,3,12,10,14,14
TMEM125,0,0,0,0,1,0,1,0
TMEM126A,26,11,34,23,31,22,59,23
TMEM126B,158,54,180,104,80,70,222,65
TMEM127,12541,18309,12546,9744,13283,19498,19995,10473
TMEM128,81,85,129,75,78,75,177,60
TMEM129,528,1362,589,624,86,160,303,98
TMEM130,0,0,0,0,0,0,0,0
TMEM131,0,0,0,0,8,0,0,0
TMEM131_1,1,1,9,2,1,2,15,2
TMEM131L,820,613,757,808,787,1330,1793,1338
TMEM132A,3,0,7,2,18,10,12,7
TMEM132B,0,0,1,0,1,1,0,0
TMEM132C,0,0,0,0,0,0,1,0
TMEM132D,41,23,38,20,49,32,66,17
TMEM132D-AS1,0,0,0,0,0,0,0,0
TMEM132D-AS2,0,0,0,0,0,0,0,0
TMEM132E,0,1,2,0,1,0,3,0
TMEM132E-DT,0,0,0,0,0,0,0,0
TMEM134,84,88,142,67,71,51,180,50
TMEM135,13,6,36,20,14,5,73,15
TMEM138,174,124,214,126,379,492,616,374
TMEM139,3,0,0,3,0,1,4,0
TMEM139-AS1,0,0,0,0,0,0,0,0
TMEM140,5456,4938,3456,4674,2508,4862,4552,3866
TMEM141,28,37,42,20,19,27,65,14
TMEM143,19,13,26,18,14,15,38,7
TMEM144,3,1,4,3,1,7,1,0
TMEM145,0,0,0,0,0,1,0,0
TMEM147,36,19,58,16,38,26,99,34
TMEM147-AS1,5,5,18,3,5,6,26,2
TMEM14A,1,7,8,2,4,3,20,2
TMEM14B,126,160,171,118,87,89,187,67
TMEM14B-DT,3,0,3,0,3,2,4,3
TMEM14C,0,0,0,0,0,0,0,0
TMEM14C_1,0,0,0,0,0,0,0,0
TMEM14EP,1,1,3,4,5,4,3,8
TMEM150A,42,27,58,26,22,29,69,15
TMEM150B,15,0,4,2,2,0,3,2
TMEM150C,0,0,0,0,0,0,0,0
TMEM151A,0,0,0,0,0,0,2,0
TMEM151B,0,1,0,0,2,0,1,1
TMEM154,25413,16982,17403,16968,36426,32378,42855,28735
