"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexp"
"MXD3",588.562105115093,-0.32009011749508,0.351429448261636,-0.910823265034909,0.362388502135548,0.633267591648177,"insignificant"
"MXD4",390.206511361027,-0.68738949083933,0.238374394195139,-2.8836549041279,0.00393089263406344,0.0212445778498049,"down"
"MXI1",543.730429958919,-2.80369647728513,0.216708970914086,-12.9376115139998,2.7607986141635e-38,2.1799265857435e-35,"down"
"MXRA8",9.35787178406661,0.468991210363562,0.722190848706798,0.649400655246973,0.516079440587171,0.763140411201134,"insignificant"
"MYADM",4202.90607234286,-0.974799473754907,0.557382422972591,-1.74888807680044,0.0803103679881656,0.235736306927344,"insignificant"
"MYB",28.7218523944364,-0.540175567862105,0.397093335572658,-1.36032393261676,0.173727438131826,0.402819678689804,"insignificant"
"MYBBP1A",99.1082929362832,0.520964203940575,0.580282888027386,0.897776265144645,0.369304840808146,0.640585159024278,"insignificant"
"MYBL1",33.2597199436013,0.176030479057355,0.789721323407071,0.222902021054606,0.823611763386525,0.933877490831521,"insignificant"
"MYBL2",6.2485755297192,0.0438141074793338,0.792494782244748,0.055286304037523,0.955910373272743,0.985544208967445,"insignificant"
"MYBPC3",1301.53624631953,1.35277056239984,0.399315023950122,3.38772768682206,0.000704741961590957,0.0049244624147984,"up"
"MYBPH",285.568101176559,2.26338902484183,0.603555929747724,3.75008994740205,0.000176771150966866,0.00149361691603465,"up"
"MYC",146.73839598873,1.56215958387972,0.59249976363144,2.6365573115257,0.00837520510527883,0.0399218952679032,"up"
"MYCBP2",1005.156137855,-0.417564542998619,0.344973713996065,-1.21042423250654,0.226116148037932,0.479185554867893,"insignificant"
"MYCT1",6.18799496078173,-0.370579608209685,0.713117542458304,-0.519661326703869,0.603299646092001,0.81927147743442,"insignificant"
"MYD88",18556.8771968073,0.763070567065515,0.392668395531207,1.94329509517368,0.051980513797324,0.170235643692937,"insignificant"
"MYDGF",112.887855610909,1.0173510023002,0.282619785254692,3.59971613941812,0.000318564747545173,0.00250411871241084,"up"
"MYEF2",29.1097181407173,-0.221869039534572,0.746386919447049,-0.297257405983134,0.766269997734919,0.907048632353635,"insignificant"
"MYEOV",4.77731853996238,3.53067291895744,1.27792427633388,2.76281856784681,0.00573046102257547,0.0291839850860673,"up"
"MYG1_1",6.78016554968513,-0.898064674383851,0.770743701649714,-1.16519236221018,0.243941136586678,0.50284798707438,"insignificant"
"MYH10",125.299253836163,-0.616947275319783,0.330054520269677,-1.86922837722596,0.0615910478415429,0.194334830672057,"insignificant"
"MYH14",3.65922489772701,-1.45195641589248,0.881379034203012,-1.64736890661963,0.0994822423771823,0.274990998008133,"insignificant"
"MYH15",2.643774409401,0.626970751025965,0.972045867687619,0.64500119990989,0.51892640812103,0.765877181032458,"insignificant"
"MYH3",59.4485838029707,-0.124830315954635,0.308096224004302,-0.405166653236528,0.685355015037842,0.866732107504472,"insignificant"
"MYH7B",26.3292821905383,0.260253249731279,0.475865629375857,0.546904911104056,0.584444061534973,0.807779644794168,"insignificant"
"MYH9",105377.12108222,0.405616610221201,0.309841031905084,1.3091119911628,0.190496417986502,0.42798683067902,"insignificant"
"MYH9-DT",2.55642457677489,1.50774605897731,1.13016116694303,1.3340982711834,0.182171652361141,0.415030840405253,"insignificant"
"MYL11",7.71251514013596,0.208758824093292,0.810831600869963,0.257462614764039,0.796821671830839,0.922712934022364,"insignificant"
"MYL12A",4369.91280972579,-0.829363024377506,0.373983584693222,-2.21764552863418,0.0265790110021163,0.100559593134983,"insignificant"
"MYL12-AS1",17.4608195723577,0.274708555282722,0.548418133466981,0.500910780513536,0.616433915063042,0.826113853820273,"insignificant"
"MYL12B",8676.31392522847,-0.265741427618744,0.365826786349274,-0.726413257680445,0.467585466151777,0.728965806290557,"insignificant"
"MYL12BP2",31.3105050086997,-0.354345459120783,0.444172135976608,-0.797766069547965,0.425006254892802,0.693572261782281,"insignificant"
"MYL5",86.8781045055324,-0.801873076249435,0.429370738266658,-1.86755408504675,0.0618242514241993,0.194798200018147,"insignificant"
"MYL6",9312.57631629167,-0.359615226850944,0.406179681124313,-0.885359961521271,0.375962519618461,0.647696457142417,"insignificant"
"MYL9",21.6865768631403,-0.149266350376198,0.669194773953048,-0.223053670151152,0.823493735802124,0.933836929181901,"insignificant"
"MYLIP",1481.77775400465,0.0124042302897846,0.250270062703399,0.0495633802772692,0.960470329052723,0.986969510437311,"insignificant"
"MYLK",10.0238758553884,0.263963829546305,0.697958827229912,0.37819398401183,0.70528649423247,0.877037944835366,"insignificant"
"MYLK4",7.17948735610092,1.04115589892041,0.639869197659326,1.62713864447455,0.103707655141206,0.282760927139146,"insignificant"
"MYNN",435.113292229693,0.312176209420051,0.317280966587944,0.98391092531396,0.32515931140549,0.596597635147612,"insignificant"
"MYO10",70.5834014616272,-0.656289058279437,0.45050930810596,-1.45677136181407,0.145179503615687,0.357912306588682,"insignificant"
"MYO15A",3.65878924957869,-0.89737149914924,0.804955317522846,-1.11480908270883,0.264932243458345,0.528297284326714,"insignificant"
