Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
AATK,3450,3833,1416,2443,2259,3353,1503,1296,14107,19153,9787,10717,13505,18309,10107,15019
ABALON,4,3,3,0,1,1,0,0,7,8,6,4,26,8,19,6
ABAT,72,133,157,39,285,658,359,176,1040,2319,1853,834,157,393,1102,157
ABCA1,3567,1902,1684,1677,1276,711,1629,821,3473,1458,3130,2035,7628,4338,8251,5349
ABCA10,3,3,1,4,0,1,2,1,6,5,10,1,1,8,13,4
ABCA11P,9,10,5,6,8,7,6,8,22,15,27,20,21,17,40,31
ABCA12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ABCA13,2,7,11,9,0,5,4,6,11,4,18,12,11,24,75,36
ABCA17P,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABCA2,194,266,248,97,221,302,298,117,853,985,1139,504,608,651,1285,404
ABCA3,3,4,11,1,2,10,4,1,6,2,21,0,7,2,20,2
ABCA4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
ABCA5,275,176,166,174,130,90,126,93,190,73,158,127,223,99,298,152
ABCA6,0,1,0,0,1,0,0,0,3,1,3,0,9,3,11,2
ABCA7,1540,2455,1121,467,1387,1582,1389,526,4144,4242,4465,2206,1918,3693,4358,1277
ABCA8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABCA9,0,0,0,0,1,0,0,0,3,2,0,3,2,2,1,1
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,36,14,85,22,29,13,99,8,98,35,347,82,105,43,550,62
ABCB10,44,72,30,36,66,62,50,61,53,39,86,53,52,30,146,35
ABCB11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ABCB11_1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,7,2,5,10,2,4,8,9,10,2,24,32,11,9,48,30
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ABCB6,31,23,16,11,34,34,23,15,105,109,67,72,30,82,70,36
ABCB7,42,20,33,24,37,31,41,25,74,59,104,57,99,36,150,68
ABCB8,53,52,66,30,19,14,60,16,77,49,128,47,77,109,236,77
ABCB9,3,1,1,0,1,4,3,3,1,5,6,0,4,4,8,6
ABCC1,44,23,12,6,19,9,13,2,52,30,20,23,161,108,100,52
ABCC1_1,44,37,23,18,12,11,23,11,47,70,56,28,132,213,131,105
ABCC10,65,26,47,17,46,45,59,18,171,112,243,113,114,83,351,92
ABCC11,1,0,0,0,0,0,1,2,1,1,2,2,3,1,2,1
ABCC12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABCC13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCC2,27,25,8,9,30,34,27,23,117,87,89,96,50,75,107,72
ABCC3,10,10,4,7,6,14,6,0,57,32,24,10,17,39,23,16
ABCC4,14,17,13,2,6,13,15,6,37,28,45,16,34,23,71,26
ABCC5,161,315,76,97,373,696,182,183,2173,3591,1333,1377,383,1162,679,493
ABCC5-AS1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0
ABCC6,0,1,0,0,1,1,1,0,4,2,1,0,1,1,0,2
ABCC6_1,0,1,0,0,0,1,0,1,2,9,11,0,0,12,5,1
ABCC6P1,0,0,0,0,1,0,0,1,1,1,3,1,2,2,16,2
ABCC6P1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ABCC6P2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCC9,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
ABCD1,33,23,32,23,52,89,34,31,260,402,250,232,87,210,204,105
ABCD2,1,1,4,2,7,0,3,0,14,2,20,1,10,4,19,12
ABCD3,79,101,42,43,107,97,68,72,109,66,151,73,74,51,205,54
ABCD4,58,33,81,29,43,35,87,27,187,101,264,167,167,110,373,119
ABCE1,80,68,69,38,37,31,60,16,67,19,131,31,112,38,249,32
ABCF1,9,0,0,0,0,0,5,0,0,1,1,0,1,1,0,0
ABCF1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF1_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ABCF1_3,0,0,0,0,0,0,0,0,1,0,0,0,1,2,35,0
ABCF1_4,0,0,7,0,0,9,1,0,0,1,0,0,2,1,4,7
ABCF1_5,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ABCF1_6,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,2
