"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexp"
"ACAA1",3037.31599233492,1.06266177176881,0.303279601501601,3.50390124000214,0.00045849536183706,0.00328355742794589,"up"
"ACAA2",114.100173174263,-2.59747904050915,0.354198032692217,-7.33340899938381,2.24370853068094e-13,9.0420888620565e-12,"down"
"ACACB",44.5693359898414,0.0927687208130685,0.443633536001885,0.209111154330484,0.834361467298617,0.935698759496689,"insignificant"
"ACAD10",109.185938385258,0.405787079569193,0.276164273906676,1.46936848068306,0.141732871630316,0.330889276698297,"insignificant"
"ACAD8",89.544256916281,-0.0096860478919745,0.318974842127567,-0.0303661813181517,0.975775015809287,0.992079045404431,"insignificant"
"ACAD9",158.591266057816,-1.84743751783583,0.348309610420271,-5.30400960113247,1.13286350318633e-07,1.97651943156795e-06,"down"
"ACAD9-DT",5.2170643748235,0.185741244826709,0.863901827376423,0.21500272246302,0.82976519597851,0.933442087643101,"insignificant"
"ACADM",33.2119012660852,-0.100076527417522,0.422601813282721,-0.236810454361612,0.812803840811821,0.924633720786997,"insignificant"
"ACADS",26.9752706092517,-0.485965915021335,0.387623927533596,-1.25370463612367,0.209949382208095,0.432219514677149,"insignificant"
"ACADSB",40.8339778801391,0.363369502488542,0.472826738675846,0.768504555191105,0.442187485458105,0.681399472795424,"insignificant"
"ACADVL",1176.69281770202,-0.403167055745792,0.29960331782879,-1.34566952952165,0.178409117313792,0.387032877003846,"insignificant"
"ACAP2",1706.97055686078,0.49398300998478,0.261930728575135,1.88592996580422,0.0593043928117456,0.173679476587062,"insignificant"
"ACAP3",494.292136587591,-1.96764943586429,0.254627189524961,-7.72757001927088,1.09618872660467e-14,5.15821277557297e-13,"down"
"ACAT1",20.8984048082605,-0.867185734195086,0.503105726642931,-1.72366500373897,0.0847683362308761,0.225968600317165,"insignificant"
"ACAT2",657.652137353704,-2.18629946777273,0.236122217671123,-9.25918572735862,2.059971366277e-20,1.74378211053258e-18,"down"
"ACBD3",174.663491099104,0.344927452375416,0.235465554066881,1.46487435812987,0.14295519986766,0.332820175012032,"insignificant"
"ACBD4",26.7487042453929,0.423061669416158,0.431792336479437,0.979780402925946,0.327194527603131,0.573360925205092,"insignificant"
"ACBD5",167.786849686779,0.334474320187897,0.317825616356762,1.05238314023262,0.292623800749776,0.535499916922992,"insignificant"
"ACBD6",20.5685575624885,0.014728210791866,0.574311565277623,0.0256449838072585,0.97954050596558,0.993264669015792,"insignificant"
"ACCS",85.2205471913602,0.600455979687257,0.538770158779235,1.11449375935704,0.265067420235075,0.502704321519791,"insignificant"
"ACD",1178.17544593818,-3.341193785256,0.304713229228179,-10.9650434072687,5.62735454138234e-28,8.7409752725802e-26,"down"
"ACE",4.11723372697014,0.797198190852947,1.0279431190523,0.775527532678962,0.438028002811458,0.67795395346624,"insignificant"
"ACER2",2.38311629544235,0.225270187296944,1.1882478106265,0.189581823995258,0.849636831250487,0.942672653479649,"insignificant"
"ACER3",156.567484631195,-0.747316033455529,0.341098865456545,-2.19090741464437,0.0284584930744853,0.0988002216701576,"insignificant"
"ACHE",3.95758014504257,-0.569690060321269,1.06870363623584,-0.533066456410512,0.593987577947535,0.798857368828397,"insignificant"
"ACIN1",2046.57322870029,0.166935184167994,0.18739178430689,0.890835128047053,0.373017626718128,0.621010302795352,"insignificant"
"ACKR2",5.15975727914063,0.737987765252992,0.859869165120362,0.85825587797382,0.390751187128947,0.636039092774038,"insignificant"
"ACKR3",20.7619208469881,-0.0151927233052439,0.75005276824169,-0.0202555392747358,0.983839523021431,0.995098995136196,"insignificant"
"ACLY",533.589808256292,-0.349530864701032,0.186330899842223,-1.87586098171049,0.0606743716501438,0.176570593440986,"insignificant"
"ACMSD",1.96306452273769,0.366687739549918,1.25115232917289,0.293080011921751,0.769460994463376,0.90180986377698,"insignificant"
"ACO1",261.6855503117,1.6346618716371,0.442210838475662,3.69656672656852,0.00021853483955049,0.00172829406721122,"up"
"ACO2",221.331464121159,-0.22692071230176,0.202439979690209,-1.12092834947432,0.262318362475738,0.499147416894544,"insignificant"
"ACOD1",296.339452369822,1.50040172594842,0.519543734067172,2.8879218967819,0.00387796151531902,0.0198730000908357,"up"
"ACOT1",2.17617835267899,-1.83979437667083,1.46753255837468,-1.25366511711906,0.209963751988924,0.432219514677149,"insignificant"
"ACOT11",4.46074097190393,0.212101726360122,0.827409840484662,0.256344215384098,0.797685058577993,0.916659233627429,"insignificant"
"ACOT12",2.8134556283985,0.260791842233798,0.96090948339038,0.27140104946581,0.786082594967272,0.910683232214438,"insignificant"
"ACOT13",268.521713021228,0.810224205704326,0.342913750761223,2.36276382590589,0.0181392252273962,0.0695612330808036,"insignificant"
"ACOT2",20.3310764248166,-0.939934198633839,0.503518634770222,-1.86673170311318,0.06193906415239,0.179197664986273,"insignificant"
"ACOT7",7.9490022812338,0.20669937501152,0.710193793379465,0.291046439631554,0.77101580239474,0.902838455867192,"insignificant"
"ACOT8",51.1233233378963,0.667673350522419,0.370296541716672,1.80307746712169,0.071376049373755,0.199257618902584,"insignificant"
