Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
ACBD7,0,0,1,0,0,0,0,0
ACBD7-DCLRE1CP1,0,0,0,0,0,0,0,0
ACCS,20,39,82,23,29,43,98,10
ACCSL,0,0,0,0,1,0,0,0
ACD,1732,1844,1034,902,1455,2046,1456,961
ACE,2,2,4,0,5,1,8,1
ACE2,4,0,1,1,2,0,0,0
ACE2-DT,0,0,0,0,0,0,0,0
ACER1,0,0,0,0,0,0,0,0
ACER2,1,0,2,2,1,1,5,2
ACER3,180,177,104,60,122,162,137,67
ACHE,0,1,5,4,0,1,3,6
ACIN1,1665,1350,995,892,1350,1348,1429,1032
ACKR1,0,0,0,0,0,0,0,0
ACKR2,5,1,2,2,6,8,1,1
ACKR3,36,13,7,4,4,1,12,1
ACKR4,0,0,0,0,0,0,0,0
ACLY,530,388,336,269,419,495,488,251
ACMSD,4,0,1,0,1,4,1,2
ACO1,168,52,85,38,95,31,77,20
ACO2,190,191,153,83,110,173,173,97
ACOD1,85,36,184,66,0,0,15,0
ACOT1,6,3,0,1,0,0,0,2
ACOT11,6,3,0,2,3,3,1,2
ACOT12,3,2,2,0,0,3,2,1
ACOT13,151,190,88,76,107,232,93,105
ACOT2,29,15,8,16,6,5,12,2
ACOT4,1,0,1,0,0,0,0,1
ACOT6,0,0,0,0,0,0,0,0
ACOT7,4,3,7,4,2,1,6,0
ACOT8,35,43,19,9,32,37,34,16
ACOT9,2530,1757,1009,1154,1319,1769,1177,918
ACOX1,973,507,423,276,874,684,615,384
ACOX2,0,0,0,0,1,0,0,0
ACOX3,307,566,489,486,87,138,370,147
ACOXL,11,13,5,8,4,11,4,6
ACOXL-AS1,1,0,0,0,0,1,0,0
ACP1,93,100,92,72,75,94,107,60
ACP2,63,104,63,34,41,77,76,46
ACP3,86,62,44,31,93,72,54,45
ACP4,0,0,0,0,0,0,0,1
ACP5,97,88,124,101,67,57,103,66
ACP6,265,159,197,152,103,78,229,127
ACP7,1,2,0,0,1,1,0,0
ACR,0,0,0,0,0,0,0,0
ACR_1,0,0,0,0,0,0,0,0
ACRBP,28,38,10,11,14,22,10,6
ACRV1,0,2,3,1,0,2,0,0
ACSBG1,1,0,2,1,0,0,0,0
ACSBG2,0,0,0,1,0,0,0,0
ACSF2,9,4,12,3,9,6,9,5
ACSF3,45,32,43,16,52,17,49,20
ACSL1,25005,25428,12966,13276,10037,14170,11230,6425
ACSL3,236,361,146,289,304,554,227,425
ACSL3-AS1,5,3,2,0,3,3,1,5
ACSL4,742,650,250,345,1084,806,319,386
ACSL5,2025,2171,1398,1516,172,330,717,270
ACSL6,8,4,16,2,4,1,14,0
ACSL6-AS1,0,0,0,0,0,0,0,0
ACSM1,3,4,0,1,1,0,1,2
ACSM2A,0,0,0,1,0,0,0,0
ACSM2B,0,0,0,1,0,0,0,0
ACSM3,21,11,9,16,21,18,8,8
ACSM4,0,0,0,0,0,0,0,0
ACSM5,0,0,0,0,0,0,0,0
ACSM6,0,0,0,0,0,0,0,0
ACSS1,87,99,110,50,65,40,106,49
ACSS2,1205,1650,797,676,1170,1657,1170,768
ACSS3,0,0,0,0,0,0,0,0
ACTA1,22,15,14,17,17,26,14,22
ACTA2,18,14,12,15,12,3,4,2
ACTA2-AS1,0,1,0,0,1,0,0,0
ACTB,45797,80557,23401,22808,40872,86097,35560,28530
ACTBL2,0,0,1,0,0,1,0,1
ACTC1,0,0,0,0,0,0,0,0
ACTE1P,0,0,0,0,0,0,0,0
ACTG1,5,3,6,3,7,7,3,1
ACTG1_1,2,7,0,0,2,2,1,1
ACTG1P17,0,1,2,1,0,0,1,0
ACTG1P20,63,65,40,32,42,63,42,27
ACTG1P25,7,10,2,2,3,9,6,0
ACTG1P4,1,4,2,0,4,3,3,4
ACTG2,19,22,15,15,16,25,14,17
ACTL10,3,0,3,4,2,1,6,3
ACTL6A,42,68,54,34,36,37,48,40
ACTL6B,0,1,0,0,0,0,0,1
ACTL7A,0,0,0,0,0,0,0,0
ACTL7B,0,0,1,0,0,0,0,0
ACTL8,0,0,0,0,0,0,0,0
ACTL9,0,0,0,0,0,0,0,0
ACTMAP,37,45,24,34,17,28,31,14
ACTN1,2553,3915,2293,1632,6213,8310,4963,4179
ACTN1-DT,0,0,0,0,0,2,2,1
ACTN2,1,1,0,0,0,0,1,0
ACTN3,0,0,0,0,0,0,0,0
ACTN4,0,0,0,0,0,0,0,0
ACTN4_1,0,0,0,0,2,0,0,0
ACTR10,298,322,167,138,176,262,224,144
ACTR1A,943,823,529,485,453,508,625,313
ACTR1B,0,0,0,0,0,0,0,0
ACTR1B_1,0,0,0,0,0,0,15,0
ACTR2,3968,3462,1763,1653,2349,3132,2007,1478
ACTR3,6884,6508,3642,3527,2446,3378,3090,1886
ACTR3-AS1,1,8,7,6,2,4,3,2
ACTR3B,14,18,12,8,12,15,7,3
ACTR3BP2,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0
ACTR3BP5_1,0,0,0,0,0,0,0,0
ACTR3C,6,1,5,1,2,4,6,2
ACTR5,35,32,18,16,18,31,30,15
ACTR6,31,9,17,9,23,10,17,8
ACTR8,135,176,82,99,156,178,156,144
ACTRT1,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0
ACTRT3,1,1,0,0,1,0,2,1
ACVR1,45,27,15,18,59,70,27,19
ACVR1B,529,478,342,340,167,264,234,159
ACVR1C,5,1,7,1,6,1,4,0
