Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
LOC124905542,0,0,0,0,0,0,0,0
LOC124905543,0,0,0,0,0,0,0,0
LOC124905544,0,0,0,0,0,0,0,0
LOC124905545,0,0,0,0,0,0,0,0
LOC124905547,1,0,1,0,0,0,0,0
LOC124905548,0,0,0,0,0,0,0,0
LOC124905549,0,0,0,0,0,0,0,0
LOC124905550,0,0,0,0,0,0,0,0
LOC124905552,6,0,0,0,3,1,1,0
LOC124905553,0,0,1,0,0,1,0,0
LOC124905554,0,0,0,0,0,0,0,0
LOC124905556,0,0,0,0,0,0,0,0
LOC124905557,0,0,0,0,0,0,0,0
LOC124905558,10,5,6,3,2,15,5,5
LOC124905559,0,0,0,0,0,0,1,0
LOC124905560,0,1,1,0,0,0,0,0
LOC124905561,0,0,0,0,0,0,0,0
LOC124905562,0,0,0,0,0,0,0,0
LOC124905563,0,0,0,0,0,0,0,0
LOC124905564,5,2,3,6,10,0,1,0
LOC124905564_1,17,42,47,24,52,23,35,26
LOC124905565,0,0,0,0,0,0,0,0
LOC124905566,0,0,0,0,0,0,0,0
LOC124905568,1,1,1,0,0,0,0,0
LOC124905569,0,1,0,0,2,0,0,1
LOC124905570,0,1,0,0,0,0,0,0
LOC124905571,0,0,0,0,0,0,0,0
LOC124905572,1,1,1,1,2,0,0,0
LOC124905574,0,0,0,0,0,0,0,0
LOC124905589,0,0,0,0,0,0,0,0
LOC124905589_1,0,0,0,0,0,0,0,0
LOC124905590,0,0,0,0,0,0,0,0
LOC124905590_1,1,0,0,0,0,0,0,0
LOC124905591,0,0,0,0,0,0,0,0
LOC124905591_1,0,0,0,0,0,0,0,0
LOC124905592,0,0,0,0,0,0,0,0
LOC124905592_1,0,0,0,0,0,0,0,0
LOC124905593,0,0,0,0,0,0,0,0
LOC124905593_1,0,0,0,0,0,0,0,0
LOC124905594,0,0,0,0,0,0,0,0
LOC124905594_1,0,0,0,0,0,0,0,0
LOC124905596,0,0,0,0,0,0,0,0
LOC124905598,0,0,0,0,0,0,0,0
LOC124905599,0,0,0,0,0,0,0,0
LOC124905602,0,0,0,0,0,0,0,0
LOC124905603,0,0,0,0,0,0,0,0
LOC124905604,0,0,0,0,0,0,0,0
LOC124905605,0,0,1,0,0,0,0,0
LOC124905606,0,0,0,0,0,0,0,0
LOC124905607,2,1,1,1,1,0,0,0
LOC124905609,0,0,0,0,0,0,0,0
LOC124905610,0,0,0,0,0,0,0,0
LOC124905611,0,0,0,0,0,0,0,0
LOC124905613,0,0,0,0,0,0,0,0
LOC124905614,0,0,0,0,0,0,0,0
LOC124905618,0,0,0,0,0,0,0,0
LOC124905619,0,0,0,0,0,0,0,0
LOC124905622,0,0,0,0,0,0,0,0
LOC124905623,0,0,0,0,0,0,0,0
LOC124905624,0,0,0,0,0,0,0,0
LOC124905625,0,0,0,0,0,0,0,0
LOC124905626,0,0,0,0,0,0,0,0
LOC124905627,0,0,0,0,0,0,0,0
LOC124905628,0,0,0,0,0,0,0,0
LOC124905629,0,0,0,0,0,0,0,0
LOC124905631,0,0,0,0,0,0,0,0
LOC124905633,0,0,0,0,0,0,0,0
LOC124905634,0,0,0,0,0,0,0,0
LOC124905635,0,0,0,0,0,0,0,0
LOC124905636,0,0,0,0,0,0,0,0
LOC124905637,0,0,0,0,0,0,0,0
LOC124905638,0,0,0,0,0,0,0,0
LOC124905639,0,0,0,0,0,0,0,0
LOC124905640,0,0,0,0,0,0,0,0
LOC124905641,0,0,0,0,0,0,0,0
LOC124905642,0,0,0,0,0,0,0,0
LOC124905643,0,0,0,0,0,0,0,0
LOC124905644,0,0,0,0,0,0,0,0
LOC124905645,0,0,0,0,0,0,0,0
LOC124905646,0,0,0,0,0,0,0,0
LOC124905647,0,0,0,0,0,0,0,0
LOC124905648,0,0,0,0,0,0,0,0
LOC124905649,0,0,0,0,0,0,0,0
LOC124905650,0,0,0,0,0,0,0,0
LOC124905651,0,1,0,0,0,0,0,0
LOC124905652,0,0,0,0,0,0,0,0
LOC124905653,0,0,0,0,0,0,0,0
LOC124905654,0,0,0,0,0,0,0,0
LOC124905938,0,0,0,0,0,0,0,0
LOC124905948,0,0,0,0,0,0,0,0
LOC124905950,0,0,0,0,0,0,0,0
LOC124905953,0,0,0,0,0,0,0,0
LOC124905954,0,0,0,0,0,0,0,0
LOC124905955,0,0,0,0,0,0,0,0
LOC124905958,0,0,1,0,0,0,1,0
LOC124905959,1,2,2,0,0,0,0,0
LOC124905960,0,0,0,0,0,0,0,0
LOC124905962,0,1,0,0,0,0,0,0
LOC124905965,0,0,0,0,0,0,0,0
LOC124905966,0,0,0,0,0,0,0,0
LOC124905967,0,0,0,0,0,0,0,0
LOC124905968,0,0,0,0,0,0,0,0
LOC124905969,0,0,0,0,0,0,0,0
LOC124905970,1,1,0,0,3,3,0,1
LOC124905972,36,55,29,30,49,54,50,61
LOC124905973,0,0,0,0,0,0,0,0
LOC124905974,2,1,1,0,0,1,0,0
LOC124905975,1,1,0,0,0,0,0,0
LOC124905976,0,0,0,0,0,0,0,0
LOC124905977,0,0,0,0,0,0,0,0
LOC124905978,0,0,0,0,0,0,0,0
LOC124905979,0,0,0,0,0,0,0,0
LOC124905982,1,3,0,0,0,2,0,1
LOC124905983,1,0,1,1,0,0,0,0
LOC124905985,0,0,0,0,0,0,0,0
LOC124905986,0,0,0,0,0,0,0,0
LOC124905987,0,0,0,0,0,0,0,0
LOC124905989,0,0,0,0,0,0,0,0
LOC124905990,0,0,0,0,0,0,0,0
LOC124905991,0,0,0,0,0,0,0,0
LOC124905993,0,1,3,1,2,2,5,5
LOC124905994,1,1,0,0,0,0,0,0
LOC124905996,0,0,0,0,0,0,0,0
LOC124905998,0,0,0,0,0,0,0,0
LOC124905999,2,1,1,2,2,2,1,1
LOC124906002,0,0,0,0,0,0,0,0
LOC124906003,14,25,14,17,6,6,7,9
LOC124906004,0,0,0,0,0,0,0,0
LOC124906005,0,0,0,0,0,0,0,0
LOC124906006,0,0,0,0,0,0,0,0
LOC124906008,0,0,0,0,0,0,0,0
LOC124906010,0,1,0,0,0,0,0,0
LOC124906012,0,0,0,0,0,0,0,0
LOC124906013,3,1,2,1,1,0,0,3
LOC124906017,0,0,0,0,0,0,0,0
LOC124906019,0,1,0,0,1,1,0,0
LOC124906020,3,1,1,0,0,1,2,0
LOC124906021,0,0,0,0,1,0,0,0
LOC124906022,13,14,6,2,8,7,8,8
LOC124906023,1,0,0,0,0,1,0,0
LOC124906025,5,0,5,1,1,2,1,0
LOC124906026,0,0,1,0,0,0,0,0
LOC124906027,0,0,0,0,0,0,0,0
LOC124906030,0,0,0,0,0,0,0,0
LOC124906031,0,0,0,0,0,0,0,0
LOC124906046,4,1,3,0,0,0,3,0
LOC124906047,0,0,2,0,0,0,2,0
LOC124906050,0,2,0,1,0,0,1,0
LOC124906051,0,0,0,0,0,0,0,0
LOC124906052,158,84,67,81,174,93,147,134
LOC124906053,1,4,6,3,5,14,4,3
LOC124906055,0,0,0,0,0,0,0,0
LOC124906057,0,0,0,0,0,0,0,0
LOC124906058,0,0,0,0,0,0,0,0
LOC124906059,0,0,0,0,0,0,0,0
LOC124906060,0,0,0,0,0,0,0,0
LOC124906061,0,0,0,0,0,0,0,0
LOC124906063,0,0,0,0,0,0,0,0
LOC124906064,0,0,0,0,0,0,0,0
LOC124906065,18,46,8,8,19,55,22,28
LOC124906066,0,0,0,0,0,0,0,0
LOC124906067,1,1,2,1,1,1,0,1
LOC124906068,0,0,0,0,0,0,0,0
LOC124906070,0,0,0,0,0,0,0,0
LOC124906071,20,35,25,18,7,13,14,6
LOC124906072,0,0,0,0,0,0,0,0
LOC124906073,0,0,0,0,0,0,0,0
LOC124906074,0,0,2,0,0,0,0,1
LOC124906076,0,0,0,0,0,0,0,0
LOC124906077,0,0,1,0,1,1,2,1
LOC124906078,40,19,16,13,9,9,17,8
LOC124906079,0,0,0,0,0,0,0,0
LOC124906081,8,15,4,6,8,1,4,0
LOC124906082,14,6,15,7,9,7,9,1
LOC124906083,12,25,4,11,29,25,5,12
LOC124906084,0,0,0,0,0,0,0,0
LOC124906085,0,0,0,0,0,0,0,0
LOC124906086,13,14,12,2,30,28,10,11
LOC124906087,0,0,0,0,0,0,0,0
LOC124906088,0,0,0,0,0,0,0,0
LOC124906089,2,0,4,1,3,5,4,0
LOC124906090,0,0,0,0,0,0,0,0
LOC124906091,0,0,0,0,0,1,0,0
LOC124906092,5,3,1,4,1,4,3,2
LOC124906096,6,11,6,7,23,21,12,12
LOC124906097,10,19,10,9,12,45,12,13
LOC124906098,0,0,0,0,0,0,0,0
LOC124906099,0,0,0,0,0,0,0,0
LOC124906100,0,0,0,0,0,0,0,0
LOC124906101,0,0,0,0,0,0,0,0
LOC124906102,0,0,0,0,0,0,0,0
LOC124906103,2,3,7,1,1,2,1,1
LOC124906104,2,0,0,0,1,0,0,0
LOC124906105,0,0,0,1,0,0,0,0
LOC124906106,0,0,0,0,0,0,0,0
LOC124906107,1,0,0,0,0,0,0,0
LOC124906109,7,4,0,2,4,6,0,6
LOC124906110,0,5,3,2,3,1,4,0
LOC124906112,0,0,0,0,0,0,0,0
LOC124906113,0,0,1,0,0,0,1,0
LOC124906114,0,0,0,0,0,0,0,0
LOC124906115,0,0,0,0,0,0,0,0
LOC124906116,0,0,0,0,0,0,0,0
LOC124906117,0,1,0,0,0,0,0,0
LOC124906118,0,0,0,0,0,0,0,0
LOC124906119,0,0,0,0,0,0,0,0
LOC124906120,1,0,1,0,1,1,0,0
LOC124906121,0,0,0,0,0,0,0,0
LOC124906122,0,0,1,0,0,0,0,0
LOC124906123,0,0,0,0,0,0,0,0
LOC124906124,0,0,0,0,0,0,0,0
LOC124906126,0,0,0,0,0,0,0,0
LOC124906127,3,1,1,2,0,0,0,1
LOC124906128,13,40,4,15,6,17,8,1
LOC124906130,0,1,1,1,0,0,1,2
LOC124906132,0,0,0,0,0,0,0,0
LOC124906135,0,0,0,0,0,0,0,0
LOC124906137,0,1,0,0,1,0,0,0
LOC124906140,0,0,0,0,0,0,0,0
LOC124906141,0,0,0,0,0,0,0,0
LOC124906142,0,0,0,0,0,0,0,0
LOC124906143,0,0,0,0,0,0,0,0
LOC124906144,0,0,0,0,1,0,0,0
LOC124906145,0,0,0,0,0,0,0,0
LOC124906146,0,0,0,0,0,0,0,0
LOC124906147,0,0,0,0,0,0,0,0
LOC124906148,0,0,0,0,0,0,0,0
LOC124906149,0,0,0,0,0,0,0,0
LOC124906150,0,0,0,0,0,0,0,0
LOC124906151,0,0,0,0,0,0,0,0
LOC124906152,0,0,0,0,0,0,0,0
LOC124906153,0,0,0,0,0,0,0,0
LOC124906154,0,0,0,0,0,0,0,0
LOC124906155,0,0,0,0,0,0,0,0
LOC124906156,0,0,0,0,0,0,0,0
LOC124906158,0,0,0,0,0,0,0,0
LOC124906159,0,0,0,0,0,0,0,0
LOC124906160,0,0,0,0,0,0,0,0
LOC124906161,0,0,0,0,0,0,0,0
LOC124906162,0,1,0,0,0,0,2,0
LOC124906163,0,0,0,0,0,0,0,0
LOC124906164,0,0,0,0,0,0,0,0
LOC124906165,0,0,0,0,0,0,0,0
LOC124906166,4,1,1,0,0,0,2,0
LOC124906167,0,0,0,0,0,0,0,0
LOC124906169,0,0,0,0,0,0,0,0
LOC124906170,0,0,0,0,0,0,0,0
LOC124906171,0,0,0,0,0,0,0,0
LOC124906172,0,0,0,0,0,0,0,0
LOC124906173,0,0,0,0,1,0,0,0
LOC124906176,0,1,3,0,0,0,0,0
LOC124906177,0,0,0,0,3,0,0,2
LOC124906178,0,0,0,0,1,1,0,0
LOC124906179,0,0,1,0,0,0,0,0
LOC124906180,0,0,0,0,0,0,0,0
LOC124906181,0,0,0,0,0,0,0,0
LOC124906184,0,0,0,0,0,0,0,0
LOC124906185,0,0,0,0,0,0,0,0
LOC124906189,0,0,0,0,0,0,0,0
LOC124906193,0,0,0,0,0,0,0,0
LOC124906194,0,2,3,3,0,1,0,0
LOC124906195,0,0,0,0,0,0,0,0
LOC124906198,0,0,0,0,0,0,0,0
LOC124906199,0,0,0,0,0,0,0,0
LOC124906200,0,0,0,0,0,0,0,0
LOC124906206,0,0,0,0,0,0,0,0
LOC124906209,10,7,10,2,5,1,7,1
LOC124906210,2,0,0,0,1,0,0,0
LOC124906212,6,6,1,0,2,1,0,1
LOC124906214,9,2,4,7,1,3,1,3
LOC124906215,2,1,1,0,0,1,0,0
LOC124906216,0,0,0,0,0,0,0,0
LOC124906217,0,0,0,0,0,0,0,0
LOC124906218,0,0,0,0,0,0,0,0
LOC124906219,0,1,0,0,0,0,0,0
LOC124906220,2,0,1,1,0,3,2,2
LOC124906221,0,0,0,0,0,0,1,0
LOC124906222,0,0,0,0,0,0,0,0
LOC124906224,0,0,0,0,0,0,0,0
LOC124906226,0,0,0,0,0,0,0,0
LOC124906227,0,0,0,0,0,0,0,0
LOC124906228,0,0,0,0,0,0,1,0
LOC124906229,0,0,1,0,0,0,0,0
LOC124906230,0,0,0,0,0,0,0,0
LOC124906231,101,91,54,46,84,87,60,60
LOC124906232,0,1,0,2,0,0,0,0
LOC124906233,0,0,0,2,0,0,0,1
LOC124906234,0,0,0,0,0,0,0,0
LOC124906235,4,8,11,3,6,4,12,8
LOC124906236,166,176,103,114,146,150,109,105
LOC124906237,0,0,0,0,0,0,0,0
LOC124906238,0,0,0,0,0,0,0,0
LOC124906240,0,0,1,0,0,0,0,0
LOC124906242,0,0,0,0,0,0,0,0
LOC124906243,1,0,0,0,0,0,0,0
LOC124906244,0,0,0,0,0,0,0,0
LOC124906245,0,0,0,0,0,0,0,0
LOC124906246,0,0,0,0,0,0,0,0
LOC124906247,0,2,2,1,0,2,1,0
LOC124906248,0,0,0,0,0,0,1,0
LOC124906252,0,0,0,1,0,0,0,0
LOC124906254,0,0,3,0,1,0,2,0
LOC124906255,3,2,4,1,1,2,0,0
LOC124906256,0,0,0,0,0,0,0,0
LOC124906260,1,0,1,0,0,0,0,0
LOC124906262,59,12,36,28,31,17,35,26
LOC124906263,2,2,0,2,2,0,1,1
LOC124906264,0,0,0,0,1,0,0,0
LOC124906265,105,154,66,62,69,57,67,28
LOC124906266,2,14,10,7,3,3,5,0
LOC124906267,0,0,0,0,0,0,1,0
LOC124906268,0,0,0,0,0,0,0,0
LOC124906269,0,0,0,0,0,0,0,0
LOC124906270,0,0,0,0,1,0,0,0
LOC124906271,0,1,0,0,0,0,0,0
LOC124906273,23,18,5,11,3,2,0,1
LOC124906274,0,0,0,0,0,0,0,0
LOC124906276,0,0,0,0,0,0,0,0
LOC124906277,0,0,0,0,0,0,0,0
LOC124906278,0,0,0,0,0,0,0,0
LOC124906280,0,0,0,0,1,3,0,0
LOC124906281,0,0,0,0,0,0,0,0
LOC124906285,0,0,0,0,0,0,0,0
LOC124906287,0,0,0,0,0,0,0,0
LOC124906288,0,0,0,0,0,0,0,0
LOC124906289,2,0,0,0,0,0,0,0
LOC124906290,1,0,1,0,0,0,0,0
LOC124906291,0,0,0,0,0,0,0,0
LOC124906294,0,0,0,0,0,0,0,0
LOC124906297,0,0,0,0,0,0,0,0
LOC124906298,0,0,0,0,0,0,0,0
LOC124906299,0,0,0,0,0,0,0,0
LOC124906300,0,0,0,0,0,0,0,0
LOC124906301,0,0,0,0,0,0,0,0
LOC124906302,0,0,0,0,0,0,0,0
LOC124906303,0,1,1,0,3,1,2,1
LOC124906304,126,56,70,40,28,24,54,18
LOC124906305,0,0,0,0,0,0,0,0
LOC124906306,0,0,0,0,0,0,0,0
LOC124906307,7,4,4,2,3,1,4,0
LOC124906309,5,3,4,4,3,1,9,1
LOC124906310,0,0,0,0,0,0,0,0
LOC124906311,0,0,0,0,0,0,0,0
LOC124906312,1,1,1,1,1,0,1,1
LOC124906313,0,0,2,1,1,2,0,0
LOC124906314,0,2,1,1,2,0,3,1
LOC124906315,5,0,2,0,0,0,1,3
LOC124906316,0,0,0,0,0,0,0,0
LOC124906318,1,1,0,0,1,2,0,0
LOC124906319,0,0,0,0,0,0,0,0
LOC124906320,0,0,0,0,1,0,0,0
LOC124906330,7,2,1,1,1,3,3,2
LOC124906331,0,0,1,0,0,0,0,0
LOC124906338,4,4,6,1,0,0,3,0
LOC124906342,0,0,0,0,0,0,0,0
LOC124906343,0,0,0,0,0,0,0,0
LOC124906345,0,0,0,0,0,0,0,0
LOC124906346,0,0,0,0,0,0,0,0
LOC124906347,0,0,0,0,0,0,0,0
LOC124906348,1,0,0,0,0,1,0,0
LOC124906349,0,0,0,0,0,0,0,0
LOC124906350,0,0,0,0,0,0,0,0
LOC124906351,0,0,0,0,0,0,0,0
LOC124906352,0,1,1,0,0,0,0,0
LOC124906353,0,0,0,0,0,0,0,0
LOC124906354,0,0,0,0,0,0,0,0
LOC124906355,0,0,0,0,0,0,0,0
LOC124906356,0,0,0,0,0,0,0,0
LOC124906357,1,0,0,0,0,0,0,0
LOC124906358,0,0,0,0,0,0,0,0
LOC124906360,0,0,0,0,0,0,0,0
LOC124906361,0,0,0,0,0,0,0,0
LOC124906362,0,0,0,0,0,0,0,0
LOC124906363,1,1,1,3,0,0,2,0
LOC124906364,0,1,0,0,0,0,0,0
LOC124906366,0,0,0,0,0,0,0,0
LOC124906367,0,0,0,0,0,0,0,0
LOC124906368,0,0,0,0,0,0,0,0
LOC124906369,0,0,0,0,0,0,0,0
LOC124906370,0,0,0,0,0,0,0,0
LOC124906371,0,0,0,0,0,0,0,0
LOC124906372,0,0,0,0,0,0,0,0
LOC124906377,0,0,0,0,0,0,0,0
LOC124906378,0,0,0,0,0,0,0,0
LOC124906379,0,0,0,0,0,0,0,0
LOC124906380,0,0,0,0,0,0,0,0
LOC124906381,0,0,0,0,0,0,0,0
LOC124906382,0,0,0,0,0,0,0,0
LOC124906712,0,0,1,0,0,0,0,0
LOC124906977,74,42,15,71,27,19,15,28
LOC124907501,0,0,0,0,0,0,0,0
LOC124907502,0,0,0,0,0,0,0,0
LOC124907599,0,0,0,0,0,0,0,0
LOC124907722,0,0,0,0,0,0,0,0
LOC124907723,0,0,0,0,0,0,0,0
LOC124907724,0,0,0,0,1,0,0,0
LOC124907725,1,2,4,1,0,2,3,2
LOC124907726,3,0,4,4,0,1,0,1
LOC124907727,0,0,1,0,1,0,0,0
LOC124907728,0,1,0,1,1,0,0,0
LOC124907729,0,0,0,0,0,0,0,0
LOC124907730,0,0,0,0,0,0,0,0
LOC124907731,0,0,0,0,0,0,0,0
LOC124907732,0,0,1,5,0,3,0,6
LOC124907733,0,0,0,0,0,0,0,0
LOC124907734,0,0,0,0,0,0,0,0
LOC124907735,0,0,0,0,0,0,0,0
LOC124907736,0,0,0,0,0,0,0,0
LOC124907737,0,0,0,0,0,0,0,0
LOC124907738,0,0,0,0,0,0,0,0
LOC124907739,0,0,0,0,0,0,0,0
LOC124907740,87,66,39,24,41,61,43,51
LOC124907741,0,0,0,0,0,0,0,0
LOC124907742,0,0,0,0,0,0,0,0
LOC124907743,0,1,0,0,0,0,0,0
LOC124907744,0,0,0,0,0,0,0,0
LOC124907745,1,2,2,3,1,0,2,1
LOC124907746,0,0,0,0,0,0,0,0
LOC124907747,0,0,0,0,0,0,0,0
LOC124907748,0,0,0,0,0,0,0,0
LOC124907749,1,2,0,0,3,1,2,0
LOC124907750,0,0,0,0,0,0,0,0
LOC124907751,0,0,1,0,0,1,0,0
LOC124907752,0,0,0,0,0,0,0,0
LOC124907753,0,0,0,0,0,0,0,0
LOC124907754,3,3,2,4,2,2,0,3
LOC124907755,19,30,15,15,21,29,12,14
LOC124907756,13,2,9,3,10,1,8,3
LOC124907757,0,0,0,0,0,0,0,0
LOC124907758,0,0,0,0,1,0,0,1
LOC124907759,0,1,0,0,2,0,0,0
LOC124907761,1,1,0,1,0,0,1,0
LOC124907762,0,0,0,0,0,0,0,0
LOC124907763,0,0,0,0,0,0,0,0
LOC124907765,0,0,0,0,0,0,0,0
LOC124907766,1,2,0,1,0,1,0,0
LOC124907767,0,0,0,0,0,0,0,0
LOC124907768,0,0,1,0,0,1,0,1
LOC124907769,0,0,0,0,0,0,0,0
LOC124907770,0,0,0,0,0,0,0,0
LOC124907771,0,1,0,0,0,0,0,0
LOC124907773,1,0,1,0,0,0,0,0
LOC124907774,1,4,5,3,1,0,3,1
LOC124907775,2,1,0,0,1,1,0,2
LOC124907776,8,4,2,3,1,0,1,0
LOC124907779,0,0,0,0,0,0,0,1
LOC124907781,0,0,3,1,1,3,4,1
LOC124907782,0,0,0,0,0,0,0,0
LOC124907784,0,0,0,0,0,0,0,0
LOC124907804,0,0,0,0,0,0,0,0
LOC124907821,1,0,0,0,0,1,0,0
LOC124907824,0,0,1,0,0,0,1,0
LOC124907827,0,2,0,2,0,1,0,0
LOC124907840,0,0,0,1,0,0,0,0
LOC124907848,0,0,0,0,0,0,0,0
LOC124907850,2,0,0,1,0,0,1,0
LOC124907851,0,0,0,0,0,0,0,0
LOC124907852,0,0,0,0,0,0,0,0
LOC124907853,1,2,1,5,0,0,0,2
LOC124907854,24,10,0,0,26,15,0,0
LOC124907855,0,0,0,0,0,0,0,0
LOC124907856,0,0,0,0,0,0,0,0
LOC124907857,3,0,0,0,0,0,0,0
LOC124907858,0,0,0,0,0,0,0,0
LOC124907859,0,0,0,0,0,0,0,0
LOC124907860,0,0,0,0,0,0,0,0
LOC124907861,0,0,0,0,0,0,0,0
LOC124907862,0,0,0,0,0,0,0,1
LOC124907863,0,0,0,0,0,0,0,0
LOC124907864,0,0,0,0,0,0,0,0
LOC124907865,0,0,0,0,0,0,0,0
LOC124907866,1,0,0,0,0,0,0,0
LOC124907867,1,1,2,1,3,2,0,3
LOC124907868,0,0,0,1,0,0,1,2
LOC124907869,4,1,1,0,1,4,3,0
LOC124907870,0,0,0,0,0,0,0,0
LOC124907871,40,22,15,5,3,6,4,1
LOC124907872,0,0,0,0,0,0,2,0
LOC124907873,0,0,0,0,0,0,0,0
LOC124907874,1,1,1,2,1,1,0,2
LOC124907875,0,0,1,0,0,0,0,0
LOC124907876,0,0,0,0,0,0,0,0
LOC124907877,0,0,0,0,0,0,0,0
LOC124907878,2,0,2,0,0,0,1,0
LOC124907879,0,0,0,0,0,0,0,0
LOC124907880,0,0,0,0,0,0,0,0
LOC124907881,1,0,0,0,0,0,0,0
LOC124907882,0,0,0,0,0,0,0,0
LOC124907883,0,0,0,0,0,0,0,0
LOC124907884,0,1,0,0,1,0,0,0
LOC124907885,0,0,0,0,0,0,0,0
LOC124907886,0,0,0,0,0,0,0,0
LOC124907887,0,0,0,0,0,0,0,0
LOC124907888,0,0,0,0,0,1,0,0
LOC124907889,0,0,0,0,0,0,0,0
LOC124907890,1,0,0,0,0,0,0,0
LOC124907891,0,0,0,0,0,0,0,0
LOC124907892,0,0,0,0,0,0,0,0
LOC124907893,2,0,1,1,1,0,1,0
LOC124907894,0,0,0,0,0,0,0,0
LOC124907895,0,0,0,0,0,0,0,0
LOC124907896,0,5,0,0,0,4,0,2
LOC124907897,0,0,0,0,0,0,0,0
LOC124907898,0,0,0,0,0,0,0,0
LOC124907899,0,0,0,1,0,0,0,2
LOC124907900,1,3,0,0,1,1,0,1
LOC124907901,0,0,0,0,0,0,0,0
LOC124907902,0,0,0,0,0,0,0,0
LOC124907903,3,2,0,0,0,0,0,0
LOC124907904,0,0,0,0,0,0,0,0
LOC124907905,0,0,0,0,0,0,0,0
LOC124907906,4,4,1,1,2,1,1,0
LOC124907907,4,3,1,1,6,5,5,0
LOC124907908,0,0,0,0,0,0,0,0
LOC124907909,0,0,0,0,0,0,0,0
LOC124907910,0,0,0,0,0,0,1,0
LOC124907911,0,0,0,0,0,0,0,0
LOC124907912,0,0,0,0,0,0,0,0
LOC124907913,0,0,0,0,0,0,0,0
LOC124907914,0,0,0,0,0,0,0,0
LOC124907915,0,0,0,1,0,0,0,0
LOC124907916,0,0,0,0,0,0,0,0
LOC124907917,0,0,0,0,0,0,0,0
LOC124907918,0,0,0,0,0,1,0,0
LOC124907919,0,0,0,0,0,0,0,0
LOC124907920,0,0,0,3,0,0,1,0
LOC124907927,0,0,0,0,0,0,0,0
LOC124907946,0,0,0,0,0,0,0,0
LOC124907951,3,1,0,0,0,0,2,0
LOC124907952,7,9,6,1,3,5,4,4
LOC124907962,0,0,0,0,0,0,0,1
LOC124907966,0,0,0,0,0,0,0,0
LOC124907967,2,1,0,1,0,0,2,1
LOC124907968,0,0,0,0,0,0,0,0
LOC124907969,0,0,0,0,0,0,0,0
LOC124907970,139,78,59,71,36,14,67,16
LOC124907971,0,1,1,1,1,0,0,0
LOC124907972,0,0,0,0,0,0,0,0
LOC124907973,0,0,0,0,0,0,0,0
LOC124907974,0,0,0,0,0,0,0,0
LOC124907975,0,0,0,0,0,0,0,0
LOC124907976,0,0,0,0,0,0,0,0
LOC124907977,0,0,0,0,0,0,0,0
LOC124907978,0,0,0,0,0,0,0,0
LOC124907979,0,0,0,0,0,0,0,0
LOC124907980,0,0,0,0,0,0,0,0
LOC124907981,0,0,0,0,0,0,0,0
LOC124907982,0,0,0,0,0,0,0,0
LOC124907983,0,1,0,0,0,0,0,0
LOC124907984,0,0,0,0,0,0,0,0
LOC124907985,0,0,0,0,0,0,0,0
LOC124907986,0,0,0,0,0,0,0,0
LOC124907987,0,0,0,0,0,0,0,0
LOC124907988,9,14,8,7,0,2,4,1
LOC124907989,38,8,15,9,3,4,5,5
LOC124907990,0,0,0,0,0,0,0,0
LOC124907991,0,0,0,0,0,0,0,0
LOC124907992,0,0,0,0,0,0,0,0
LOC124907993,0,0,0,0,0,0,0,0
LOC124907994,0,0,0,0,1,0,0,0
LOC124907995,0,0,0,0,0,0,0,0
LOC124907996,1,0,1,0,3,2,2,4
LOC124907997,0,0,0,0,0,0,0,0
LOC124907998,0,0,0,0,0,0,0,0
LOC124907999,0,0,0,0,0,0,0,0
LOC124908000,0,0,0,0,0,0,0,0
LOC124908001,0,0,0,0,0,0,0,0
LOC124908002,3,5,1,0,2,5,0,1
LOC124908009,8,1,2,4,4,4,4,2
LOC124908011,6,16,4,9,0,9,6,3
LOC124908012,0,0,0,0,0,0,0,0
LOC124908016,0,0,0,0,0,0,0,0
LOC124908032,0,0,0,0,0,0,0,0
LOC124908044,2,0,2,0,0,1,2,0
LOC124908045,0,0,0,1,0,0,0,0
LOC124908046,0,0,0,0,0,0,0,0
LOC124908047,14,27,17,4,30,30,24,10
LOC124908048,0,0,0,0,0,0,0,0
LOC124908049,0,0,0,0,0,0,0,0
LOC124908050,0,0,0,0,0,0,0,0
LOC124908051,0,0,0,0,0,0,0,0
LOC124908052,0,0,0,0,0,0,0,0
LOC124908053,0,0,1,0,1,0,0,0
LOC124908054,0,1,0,1,0,0,0,0
LOC124908055,0,0,0,0,0,0,0,0
LOC124908056,0,0,0,0,0,0,0,0
LOC124908057,0,0,0,0,0,0,0,0
LOC124908058,0,0,0,0,0,0,0,0
LOC124908059,1,0,0,1,0,0,0,0
LOC124908060,0,1,0,0,0,0,0,0
LOC124908061,0,0,0,0,0,0,0,0
LOC124908062,165,346,124,123,93,198,100,59
LOC124908064,0,0,0,0,0,0,0,0
LOC124908978,0,0,0,0,0,0,0,0
LOC124908980,0,0,0,0,0,0,0,0
LOC124909015,0,0,0,0,0,0,0,0
LOC124909293,0,0,0,0,0,0,0,0
LOC124909294,0,0,0,0,0,0,0,0
LOC124909336,0,0,0,0,0,0,0,0
LOC124909337,0,0,0,0,0,0,0,0
LOC124909338,0,0,0,0,0,0,0,0
LOC124909339,0,0,0,0,0,0,1,0
LOC124909340,0,0,0,0,0,0,0,1
LOC124909341,0,0,0,0,0,0,0,0
LOC124909342,0,0,0,0,0,0,0,0
